supplier_profile_id,account_id,name,certified,indigenous_marketplace,services_all_australia,states,annual_revenue,employees,ownership_structure,services
a1G7F0000002vXbUAI,0017F00001K2NgMQAV,Ashleigh Pengelly,Registered,Yes,Yes,"ACT, SA, NSW, TAS, NT, VIC, QLD, WA",$50K to $500K,1,Sole Trader,Ceramics; Fine arts; Community events; Event management; Website; Ceramics; Fine arts; Community events; Event management; Website
a1G7F0000002AOIUA2,0017F00000zddoEQAQ,Kaata Tidje Pty Ltd,Registered,No,Yes,"ACT, SA, NSW, TAS, NT, VIC, QLD, WA",$50K to $500K,2,Corporation (Pty Ltd),Cultural awareness training; Monitoring & evaluation; Specialised educational services; Training & development; Training delivery & facilitation; Cultural awareness training; Monitoring & evaluation; Specialised educational services; Training & development; Training delivery & facilitation
a1G7F0000002ADSUA2,0017F00000ivcPCQAY,Cross Cultural Consultants International Pty Ltd,Certified,No,Yes,"ACT, SA, NSW, TAS, NT, VIC, QLD, WA",$1M to $5M,7,Corporation (Pty Ltd),Business & strategic planning services; Policy review and evaluation; Cultural competence training and programs; elearning services & solution; RAP implementation and assistance; Business & strategic planning services; Policy review and evaluation; Cultural competence training and programs; elearning services & solution; RAP implementation and assistance
a1G7F00000025fGUAQ,0017F00000yQot5QAC,GALLANG PLACE ABORIGINAL AND TORRES STRAIT ISLANDERS CORPORATION,Registered,No,Yes,"ACT, SA, NSW, TAS, NT, VIC, QLD, WA",$1M to $5M,25,Aboriginal Corporation (Registered with ORIC),Alcohol & drug treatment services; Counselling services; Training & development; Mental health services; Alcohol & drug treatment services; Counselling services; Training & development; Mental health services
a1G7F000000vCAuUAM,0017F00001Xq1VpQAJ,Kooyar Wongi Pty Ltd,Certified,Yes,Yes,"ACT, SA, NSW, TAS, NT, VIC, QLD, WA",$50K to $500K,2,Corporation (Pty Ltd),Cultural awareness training; Environmental management; Heritage advisory services; Event management; Communications services; Cultural awareness training; Environmental management; Heritage advisory services; Event management; Communications services
a1G7F000000usylUAA,0017F00001gpZMMQA2,GROWING FUTURES NURSERY PTY LTD,Registered,Yes,Yes,"ACT, SA, NSW, TAS, NT, VIC, QLD, WA",$50K to $500K,3,Corporation (Pty Ltd),Bush regeneration; Horticulture; Landscaping services & supplies; Turf supply & lay; Vegetation control & management; Bush regeneration; Horticulture; Landscaping services & supplies; Turf supply & lay; Vegetation control & management
a1G7F000001RSDoUAO,0017F00000spK6jQAE,Juurlu Baba Yamitji PTY LTD,Registered,No,No,WA,$1M to $5M,20,Corporation (Pty Ltd),Traffic management & control services; Cultural events services; Road signs; Safety signs; Signs; Traffic management & control services; Cultural events services; Road signs; Safety signs; Signs; Traffic management & control services; Cultural events services; Road signs; Safety signs; Signs; Traffic management & control services; Cultural events services; Road signs; Safety signs; Signs
a1G7F000000SlqpUAC,0017F00000iviFiQAI,Linking Futures Pty Ltd,Registered,No,Yes,"ACT, SA, NSW, TAS, NT, VIC, QLD, WA",$50K to $500K,2,Corporation (Pty Ltd),Business & strategic planning services; Community and business development; Cultural awareness training; Leadership development & coaching; RAP implementation and assistance; Business & strategic planning services; Community and business development; Cultural awareness training; Leadership development & coaching; RAP implementation and assistance; Business & strategic planning services; Community and business development; Cultural awareness training; Leadership development & coaching; RAP implementation and assistance
a1G7F000000SlkLUAS,0017F00000ivcIdQAI,WV Technologies Pty Ltd,Registered,Yes,Yes,"ACT, SA, NSW, TAS, NT, VIC, QLD, WA",$1M to $5M,18,Corporation (Pty Ltd),Computer hardware; IT & ICT services; Data security; Mobile phones & equipment; E-waste collection; Computer hardware; IT & ICT services; Data security; Mobile phones & equipment; E-waste collection
a1G7F000000SlqhUAC,0017F00000iviI0QAI,Nirrumbuk Environmental Health and Services Pty Ltd,Registered,Yes,No,WA,$5M to $10M,40,Corporation (Pty Ltd),Environmental impact assessments; Environmental management; Environmental monitoring & audit; Environmental testing services; Flora & fauna survey & management services; Environmental impact assessments; Environmental management; Environmental monitoring & audit; Environmental testing services; Flora & fauna survey & management services
a1G7F000000SlfjUAC,0017F00000ivcPzQAI,Kakadu Tiny Tots Pty Ltd,Certified,Yes,Yes,"ACT, SA, NSW, TAS, NT, VIC, QLD, WA",$1M to $5M,3,Corporation (Pty Ltd),Catering services; Meeting catering services; Promotional items; Tourism; Tourism development consulting services; Catering services; Meeting catering services; Promotional items; Tourism; Tourism development consulting services
a1G7F000000SliyUAC,0017F00000ivcJTQAY,Wiley1 Pty Ltd,Certified,Yes,No,"ACT, SA, NT, WA",$50K to $500K,1,Corporation (Pty Ltd),Business & strategic planning services; Community and business development; Management consulting & consultants; Project management; Accounting & audit; Business & strategic planning services; Community and business development; Management consulting & consultants; Project management; Accounting & audit
