name,kind,state,place,confidence,abn,gs_id,why
"Australian Maritime Systems Pty Ltd","builder","NT","Darwin Port Corporation","none","","","no exact name in gs_entities"
"Atkin Building Co Pty Ltd","builder","NT","Big Rivers Region","none","","","no exact name in gs_entities"
"Ausplumb (NT) Pty Limited","builder","NT","Darwin Region","high","34128244351","AU-ABN-34128244351","one exact-name record, same state"
"Bitumax Pty Limited","builder","NT","Alice Springs Region","none","","","no exact name in gs_entities"
"Ross Engineering Pty Ltd","builder","NT","Alice Springs Region","none","","","no exact name in gs_entities"
"ICRG North Pty Ltd","builder","NT","Katherine Region","high","79165886144","AU-ABN-79165886144","one exact-name record, same state"
"Hastings Deering (Aust) Ltd","builder","NT","All Centres","none","","","no exact name in gs_entities"
"Custom AV Pty Ltd","builder","NT","Royal Darwin Hospital","high","48109185551","AU-ABN-48109185551","one exact-name record, same state"
"Birubi Australia Pty Ltd","supplier","SA","Adelaide and Whyalla","high","12164458628","AU-ABN-12164458628","one exact-name record, same state"
"RIDEM Pty Ltd t/a Dexter Barnes Electrical","supplier","NT","Tennant Creek","none","","","no exact name in gs_entities"
