"Table_Number","Year","Measure","Age","Sex","Indigenous_Status","Description1","Description2","Description3","Description4","Description5","Description6","Description7","Uncertainty","Data_Source","Unit","NSW","Vic","Qld","WA","SA","Tas","ACT","NT","Aust"
"CtG11A.1","2022-23","Rate of young people in detention","10-17 years old","All people","Aboriginal and Torres Strait Islander people","Young people in detention on an average day","Number","Actual","Aboriginal and Torres Strait Islander young people","","10-17 years old","","","AIHW (unpublished) Youth Justice National Minimum Dataset","no.","97.2","10.3","202.3","63.9","16.9","3.9","4.2","49.2","447.9"
"CtG11A.1","2022-23","Rate of young people in detention","10-17 years old","All people","Non-Indigenous people","Young people in detention on an average day","Number","Actual","Non-Indigenous young people","","10-17 years old","","","AIHW (unpublished) Youth Justice National Minimum Dataset","no.","62.4","61.4","83.2","22.5","13.6","9.0","9.6","1.6","263.3"
"CtG11A.1","2022-23","Rate of young people in detention","10-17 years old","All people","Unknown Indigenous status","Young people in detention on an average day","Number","Actual","Unknown Indigenous status","","10-17 years old","","","Derived from AIHW (unpublished) Youth Justice National Minimum Dataset","no.","0.6","0","0.2","0","0","0","0","1.8","2.6"
"CtG11A.1","2022","Rate of young people in detention","10-17 years old","All people","Aboriginal and Torres Strait Islander people","Young people in the population at 31 December","Number","Actual","Aboriginal and Torres Strait Islander young people","","10-17 years old","","","Derived from ABS Estimates and Projections Aboriginal and Torres Strait Islander Australians","no.","61423","13552","50536","20722","9366","6185","1467","11643","174928"
"CtG11A.1","2022","Rate of young people in detention","10-17 years old","All people","Non-Indigenous people","Young people in the population at 31 December","Number","Actual","Non-Indigenous young people","","10-17 years old","","","Derived from ABS National state and territory population - December; ABS Estimates and Projections Aboriginal and Torres Strait Islander Australians","no.","748592","626290","514610","266251","163626","47745","41725","15106","2424370"
"CtG11A.1","2022-23","Rate of young people in detention","10-17 years old","All people","Aboriginal and Torres Strait Islander people","Young people in detention on an average day","Rate per 10000 young people","Trajectory","Aboriginal and Torres Strait Islander young people","","10-17 years old","","","Derived from AIHW (unpublished) Youth Justice National Minimum Dataset; ABS Estimates and Projections Aboriginal and Torres Strait Islander Australians","rate","..","..","..","..","..","..","..","..","25.5"
"CtG11A.1","2022-23","Rate of young people in detention","10-17 years old","All people","Aboriginal and Torres Strait Islander people","Young people in detention on an average day","Rate per 10000 young people","Linear regression estimates","Aboriginal and Torres Strait Islander young people","","10-17 years old","","","AIHW (unpublished) Youth Justice National Minimum Dataset; ABS Estimates and Projections Aboriginal and Torres Strait Islander Australians","rate","15.4","7.7","38.1","31.9","17.0","7.0","26.3","37.6","24.6"
"CtG11A.1","2022-23","Rate of young people in detention","10-17 years old","All people","Aboriginal and Torres Strait Islander people","Young people in detention on an average day","Rate per 10000 young people","Linear regression estimates","Aboriginal and Torres Strait Islander young people","","10-17 years old","","95%CI","AIHW (unpublished) Youth Justice National Minimum Dataset; ABS Estimates and Projections Aboriginal and Torres Strait Islander Australians","rate (±)","3.3","2.2","6.9","6.0","3.9","1.5","12.2","11.3","2.9"
"CtG11A.1","2021-22","Rate of young people in detention","10-17 years old","All people","Aboriginal and Torres Strait Islander people","Young people in detention on an average day","Rate per 10000 young people","Actual","Aboriginal and Torres Strait Islander young people","","10-17 years old","","","Derived from AIHW (unpublished) Youth Justice National Minimum Dataset; ABS Estimates and Projections Aboriginal and Torres Strait Islander Australians","rate","12.8","8.7","36.1","40.3","17.1","5.3","19.7","42.2","24.5"
"CtG11A.1","2021-22","Rate of young people in detention","10-17 years old","All people","Non-Indigenous people","Young people in detention on an average day","Rate per 10000 young people","Actual","Non-Indigenous young people","","10-17 years old","","","Derived from AIHW (unpublished) Youth Justice National Minimum Dataset; ABS National state and territory population - December; ABS Estimates and Projections Aboriginal and Torres Strait Islander Australians","rate","0.9","1.1","1.8","0.9","0.9","1.0","1.7","1.4","1.2"
"CtG11A.1","2021-22","Rate of young people in detention","10-17 years old","All people","Aboriginal and Torres Strait Islander people","Young people in detention on an average day","Number","Actual","Aboriginal and Torres Strait Islander young people","","10-17 years old","","","AIHW (unpublished) Youth Justice National Minimum Dataset","no.","77.2","11.5","178.7","82.5","15.6","3.2","2.8","49.7","421.3"
"CtG11A.1","2021-22","Rate of young people in detention","10-17 years old","All people","Non-Indigenous people","Young people in detention on an average day","Number","Actual","Non-Indigenous young people","","10-17 years old","","","AIHW (unpublished) Youth Justice National Minimum Dataset","no.","67.9","67.1","90.0","22.5","15.0","4.9","6.9","2.0","276.3"
"CtG11A.1","2021-22","Rate of young people in detention","10-17 years old","All people","Unknown Indigenous status","Young people in detention on an average day","Number","Actual","Unknown Indigenous status","","10-17 years old","","","Derived from AIHW (unpublished) Youth Justice National Minimum Dataset","no.","2.1","0","0","0","0","0","0","0.6","2.7"
"CtG11A.1","2021","Rate of young people in detention","10-17 years old","All people","Aboriginal and Torres Strait Islander people","Young people in the population at 31 December","Number","Actual","Aboriginal and Torres Strait Islander young people","","10-17 years old","","","Derived from ABS Estimates and Projections Aboriginal and Torres Strait Islander Australians","no.","60469","13204","49557","20493","9161","6125","1441","11780","172264"
"CtG11A.1","2021","Rate of young people in detention","10-17 years old","All people","Non-Indigenous people","Young people in the population at 31 December","Number","Actual","Non-Indigenous young people","","10-17 years old","","","Derived from ABS National state and territory population - December; ABS Estimates and Projections Aboriginal and Torres Strait Islander Australians","no.","733801","610636","503420","259062","160640","47386","40720","14630","2370703"
"CtG11A.1","2021-22","Rate of young people in detention","10-17 years old","All people","Aboriginal and Torres Strait Islander people","Young people in detention on an average day","Rate per 10000 young people","Trajectory","Aboriginal and Torres Strait Islander young people","","10-17 years old","","","Derived from AIHW (unpublished) Youth Justice National Minimum Dataset; ABS Estimates and Projections Aboriginal and Torres Strait Islander Australians","rate","..","..","..","..","..","..","..","..","26.2"
"CtG11A.1","2021-22","Rate of young people in detention","10-17 years old","All people","Aboriginal and Torres Strait Islander people","Young people in detention on an average day","Rate per 10000 young people","Linear regression estimates","Aboriginal and Torres Strait Islander young people","","10-17 years old","","","AIHW (unpublished) Youth Justice National Minimum Dataset; ABS Estimates and Projections Aboriginal and Torres Strait Islander Australians","rate","15.4","9.3","36.5","35.6","18.5","7.0","24.4","34.2","24.6"
"CtG11A.1","2021-22","Rate of young people in detention","10-17 years old","All people","Aboriginal and Torres Strait Islander people","Young people in detention on an average day","Rate per 10000 young people","Linear regression estimates","Aboriginal and Torres Strait Islander young people","","10-17 years old","","95%CI","AIHW (unpublished) Youth Justice National Minimum Dataset; ABS Estimates and Projections Aboriginal and Torres Strait Islander Australians","rate (±)","3.3","1.8","5.4","4.7","3.1","1.5","9.6","8.9","2.9"
"CtG11A.1","2020-21","Rate of young people in detention","10-17 years old","All people","Aboriginal and Torres Strait Islander people","Young people in detention on an average day","Rate per 10000 young people","Actual","Aboriginal and Torres Strait Islander young people","","10-17 years old","","","Derived from AIHW (unpublished) Youth Justice National Minimum Dataset; ABS Estimates and Projections Aboriginal and Torres Strait Islander Australians","rate","10.6","8.6","29.9","36.9","16.4","5.7","18.0","25.6","20.4"
