"Table_Number","Year","Measure","Age","Sex","Indigenous_Status","Description1","Description2","Description3","Description4","Description5","Description6","Description7","Uncertainty","Data_Source","Unit","NSW","Vic","Qld","WA","SA","Tas","ACT","NT","Aust"
"SE11c.1","2019-20","Alleged young offenders involved in police proceedings","10-17 years old","All people","Non-Indigenous people","Young people proceeded against by police","Rate per 10000 young people","","Non-Indigenous young people","","10-17 years old","","","Derived from ABS (unpublished) Recorded Crime - Offenders; ABS National state and territory population - December; ABS Estimates and Projections Aboriginal and Torres Strait Islander Australians","rate","153.4","np","150.3","np","111.9","np","65.8","34.9","np"
"SE11c.1","2019-20","Alleged young offenders involved in police proceedings","10-17 years old","All people","Aboriginal and Torres Strait Islander people","Young people proceeded against by police","Number","","Aboriginal and Torres Strait Islander young people","","10-17 years old","","","ABS (unpublished) Recorded Crime - Offenders","no.","2383","np","3462","np","452","np","56","567","np"
"SE11c.1","2019-20","Alleged young offenders involved in police proceedings","10-17 years old","All people","Non-Indigenous people","Young people proceeded against by police","Number","","Non-Indigenous young people","","10-17 years old","","","ABS (unpublished) Recorded Crime - Offenders","no.","10933","np","7236","np","1753","np","253","49","np"
"SE11c.1","2019-20","Alleged young offenders involved in police proceedings","10-17 years old","All people","Unknown Indigenous status","Young people proceeded against by police","Number","","Indigenous status not stated","","10-17 years old","","","ABS (unpublished) Recorded Crime - Offenders","no.","1697","np","191","np","26","np","0","0","np"
"SE11c.1","2018-19","Alleged young offenders involved in police proceedings","10-17 years old","All people","Aboriginal and Torres Strait Islander people","Young people proceeded against by police","Rate per 10000 young people","","Aboriginal and Torres Strait Islander young people","","10-17 years old","","","Derived from ABS (unpublished) Recorded Crime - Offenders; ABS Estimates and Projections Aboriginal and Torres Strait Islander Australians","rate","417.9","np","797.6","np","691.3","np","269.9","530.5","np"
"SE11c.1","2018-19","Alleged young offenders involved in police proceedings","10-17 years old","All people","Non-Indigenous people","Young people proceeded against by police","Rate per 10000 young people","","Non-Indigenous young people","","10-17 years old","","","Derived from ABS (unpublished) Recorded Crime - Offenders; ABS National state and territory population - December; ABS Estimates and Projections Aboriginal and Torres Strait Islander Australians","rate","153.6","np","163.5","np","122.3","np","68.6","36.1","np"
"SE11c.1","2018-19","Alleged young offenders involved in police proceedings","10-17 years old","All people","Aboriginal and Torres Strait Islander people","Young people proceeded against by police","Number","","Aboriginal and Torres Strait Islander young people","","10-17 years old","","","ABS (unpublished) Recorded Crime - Offenders","no.","2367","np","3621","np","574","np","39","638","np"
"SE11c.1","2018-19","Alleged young offenders involved in police proceedings","10-17 years old","All people","Non-Indigenous people","Young people proceeded against by police","Number","","Non-Indigenous young people","","10-17 years old","","","ABS (unpublished) Recorded Crime - Offenders","no.","10762","np","7703","np","1887","np","256","50","np"
"SE11c.1","2018-19","Alleged young offenders involved in police proceedings","10-17 years old","All people","Unknown Indigenous status","Young people proceeded against by police","Number","","Indigenous status not stated","","10-17 years old","","","ABS (unpublished) Recorded Crime - Offenders","no.","1559","np","253","np","104","np","0","3","np"
"SE11c.2","2023-24","Alleged young offenders involved in police proceedings","10-17 years old","All people","Aboriginal and Torres Strait Islander people","Young people proceeded against by police","Proportion","","Aboriginal and Torres Strait Islander young people","Proceeded against once","10-17 years old","","","Derived from ABS (unpublished) Recorded Crime - Offenders","%","39.5","np","46.5","np","45.3","np","31.5","55.5","np"
"SE11c.2","2023-24","Alleged young offenders involved in police proceedings","10-17 years old","All people","Aboriginal and Torres Strait Islander people","Young people proceeded against by police","Proportion","","Aboriginal and Torres Strait Islander young people","Proceeded against twice","10-17 years old","","","Derived from ABS (unpublished) Recorded Crime - Offenders","%","18.4","np","16.1","np","18.3","np","24.7","15.5","np"
"SE11c.2","2023-24","Alleged young offenders involved in police proceedings","10-17 years old","All people","Aboriginal and Torres Strait Islander people","Young people proceeded against by police","Proportion","","Aboriginal and Torres Strait Islander young people","Proceeded against three or more times","10-17 years old","","","Derived from ABS (unpublished) Recorded Crime - Offenders","%","42.1","np","37.4","np","35.6","np","37.0","28.8","np"
"SE11c.2","2023-24","Alleged young offenders involved in police proceedings","10-17 years old","All people","Non-Indigenous people","Young people proceeded against by police","Proportion","","Non-Indigenous young people","Proceeded against once","10-17 years old","","","Derived from ABS (unpublished) Recorded Crime - Offenders","%","68.8","np","67.9","np","71.5","np","79.7","83.9","np"
"SE11c.2","2023-24","Alleged young offenders involved in police proceedings","10-17 years old","All people","Non-Indigenous people","Young people proceeded against by police","Proportion","","Non-Indigenous young people","Proceeded against twice","10-17 years old","","","Derived from ABS (unpublished) Recorded Crime - Offenders","%","14.0","np","14.3","np","14.0","np","10.0","9.7","np"
"SE11c.2","2023-24","Alleged young offenders involved in police proceedings","10-17 years old","All people","Non-Indigenous people","Young people proceeded against by police","Proportion","","Non-Indigenous young people","Proceeded against three or more times","10-17 years old","","","Derived from ABS (unpublished) Recorded Crime - Offenders","%","17.1","np","17.8","np","15.1","np","9.2","16.1","np"
"SE11c.2","2023-24","Alleged young offenders involved in police proceedings","10-17 years old","All people","Unknown Indigenous status","Young people proceeded against by police","Proportion","","Indigenous status not stated","Proceeded against once","10-17 years old","","","Derived from ABS (unpublished) Recorded Crime - Offenders","%","91.6","np","100.0","np","93.4","np","..","98.2","np"
"SE11c.2","2023-24","Alleged young offenders involved in police proceedings","10-17 years old","All people","Unknown Indigenous status","Young people proceeded against by police","Proportion","","Indigenous status not stated","Proceeded against twice","10-17 years old","","","Derived from ABS (unpublished) Recorded Crime - Offenders","%","6.2","np","0","np","3.3","np","..","8.0","np"
"SE11c.2","2023-24","Alleged young offenders involved in police proceedings","10-17 years old","All people","Unknown Indigenous status","Young people proceeded against by police","Proportion","","Indigenous status not stated","Proceeded against three or more times","10-17 years old","","","Derived from ABS (unpublished) Recorded Crime - Offenders","%","3.0","np","0","np","1.6","np","..","0","np"
"SE11c.2","2023-24","Alleged young offenders involved in police proceedings","10-17 years old","All people","Aboriginal and Torres Strait Islander people","Young people proceeded against by police","Number","","Aboriginal and Torres Strait Islander young people","Proceeded against once","10-17 years old","","","ABS (unpublished) Recorded Crime - Offenders","no.","1263","np","1463","np","243","np","23","325","np"
"SE11c.2","2023-24","Alleged young offenders involved in police proceedings","10-17 years old","All people","Aboriginal and Torres Strait Islander people","Young people proceeded against by police","Number","","Aboriginal and Torres Strait Islander young people","Proceeded against twice","10-17 years old","","","ABS (unpublished) Recorded Crime - Offenders","no.","588","np","506","np","98","np","18","91","np"
"SE11c.2","2023-24","Alleged young offenders involved in police proceedings","10-17 years old","All people","Aboriginal and Torres Strait Islander people","Young people proceeded against by police","Number","","Aboriginal and Torres Strait Islander young people","Proceeded against three or more times","10-17 years old","","","ABS (unpublished) Recorded Crime - Offenders","no.","1346","np","1177","np","191","np","27","169","np"
"SE11c.2","2023-24","Alleged young offenders involved in police proceedings","10-17 years old","All people","Non-Indigenous people","Young people proceeded against by police","Number","","Non-Indigenous young people","Proceeded against once","10-17 years old","","","ABS (unpublished) Recorded Crime - Offenders","no.","4414","np","4952","np","710","np","216","26","np"
"SE11c.2","2023-24","Alleged young offenders involved in police proceedings","10-17 years old","All people","Non-Indigenous people","Young people proceeded against by police","Number","","Non-Indigenous young people","Proceeded against twice","10-17 years old","","","ABS (unpublished) Recorded Crime - Offenders","no.","899","np","1041","np","139","np","27","3","np"
"SE11c.2","2023-24","Alleged young offenders involved in police proceedings","10-17 years old","All people","Non-Indigenous people","Young people proceeded against by police","Number","","Non-Indigenous young people","Proceeded against three or more times","10-17 years old","","","ABS (unpublished) Recorded Crime - Offenders","no.","1098","np","1298","np","150","np","25","5","np"
"SE11c.2","2023-24","Alleged young offenders involved in police proceedings","10-17 years old","All people","Unknown Indigenous status","Young people proceeded against by police","Number","","Indigenous status not stated","Proceeded against once","10-17 years old","","","ABS (unpublished) Recorded Crime - Offenders","no.","401","np","30","np","170","np","0","111","np"
"SE11c.2","2023-24","Alleged young offenders involved in police proceedings","10-17 years old","All people","Unknown Indigenous status","Young people proceeded against by police","Number","","Indigenous status not stated","Proceeded against twice","10-17 years old","","","ABS (unpublished) Recorded Crime - Offenders","no.","27","np","0","np","6","np","0","9","np"
"SE11c.2","2023-24","Alleged young offenders involved in police proceedings","10-17 years old","All people","Unknown Indigenous status","Young people proceeded against by police","Number","","Indigenous status not stated","Proceeded against three or more times","10-17 years old","","","ABS (unpublished) Recorded Crime - Offenders","no.","13","np","0","np","3","np","0","0","np"
"SE11c.2","2022-23","Alleged young offenders involved in police proceedings","10-17 years old","All people","Aboriginal and Torres Strait Islander people","Young people proceeded against by police","Proportion","","Aboriginal and Torres Strait Islander young people","Proceeded against once","10-17 years old","","","Derived from ABS (unpublished) Recorded Crime - Offenders","%","39.0","np","47.1","np","46.2","np","42.9","42.6","np"
"SE11c.2","2022-23","Alleged young offenders involved in police proceedings","10-17 years old","All people","Aboriginal and Torres Strait Islander people","Young people proceeded against by police","Proportion","","Aboriginal and Torres Strait Islander young people","Proceeded against twice","10-17 years old","","","Derived from ABS (unpublished) Recorded Crime - Offenders","%","18.4","np","14.6","np","19.0","np","36.5","19.0","np"
"SE11c.2","2022-23","Alleged young offenders involved in police proceedings","10-17 years old","All people","Aboriginal and Torres Strait Islander people","Young people proceeded against by police","Proportion","","Aboriginal and Torres Strait Islander young people","Proceeded against three or more times","10-17 years old","","","Derived from ABS (unpublished) Recorded Crime - Offenders","%","42.5","np","38.3","np","35.2","np","20.6","38.1","np"
"SE11c.2","2022-23","Alleged young offenders involved in police proceedings","10-17 years old","All people","Non-Indigenous people","Young people proceeded against by police","Proportion","","Non-Indigenous young people","Proceeded against once","10-17 years old","","","Derived from ABS (unpublished) Recorded Crime - Offenders","%","71.0","np","69.6","np","71.4","np","72.0","85.0","np"
"SE11c.2","2022-23","Alleged young offenders involved in police proceedings","10-17 years old","All people","Non-Indigenous people","Young people proceeded against by police","Proportion","","Non-Indigenous young people","Proceeded against twice","10-17 years old","","","Derived from ABS (unpublished) Recorded Crime - Offenders","%","12.7","np","13.5","np","13.3","np","13.6","7.5","np"
"SE11c.2","2022-23","Alleged young offenders involved in police proceedings","10-17 years old","All people","Non-Indigenous people","Young people proceeded against by police","Proportion","","Non-Indigenous young people","Proceeded against three or more times","10-17 years old","","","Derived from ABS (unpublished) Recorded Crime - Offenders","%","16.4","np","17.0","np","15.4","np","14.0","27.5","np"
"SE11c.2","2022-23","Alleged young offenders involved in police proceedings","10-17 years old","All people","Unknown Indigenous status","Young people proceeded against by police","Proportion","","Indigenous status not stated","Proceeded against once","10-17 years old","","","Derived from ABS (unpublished) Recorded Crime - Offenders","%","93.8","np","100.0","np","98.2","np","..","0","np"
"SE11c.2","2022-23","Alleged young offenders involved in police proceedings","10-17 years old","All people","Unknown Indigenous status","Young people proceeded against by police","Proportion","","Indigenous status not stated","Proceeded against twice","10-17 years old","","","Derived from ABS (unpublished) Recorded Crime - Offenders","%","3.4","np","0","np","2.7","np","..","0","np"
"SE11c.2","2022-23","Alleged young offenders involved in police proceedings","10-17 years old","All people","Unknown Indigenous status","Young people proceeded against by police","Proportion","","Indigenous status not stated","Proceeded against three or more times","10-17 years old","","","Derived from ABS (unpublished) Recorded Crime - Offenders","%","1.8","np","0","np","0","np","..","0","np"
"SE11c.2","2022-23","Alleged young offenders involved in police proceedings","10-17 years old","All people","Aboriginal and Torres Strait Islander people","Young people proceeded against by police","Number","","Aboriginal and Torres Strait Islander young people","Proceeded against once","10-17 years old","","","ABS (unpublished) Recorded Crime - Offenders","no.","1230","np","1510","np","273","np","27","287","np"
"SE11c.2","2022-23","Alleged young offenders involved in police proceedings","10-17 years old","All people","Aboriginal and Torres Strait Islander people","Young people proceeded against by police","Number","","Aboriginal and Torres Strait Islander young people","Proceeded against twice","10-17 years old","","","ABS (unpublished) Recorded Crime - Offenders","no.","581","np","469","np","112","np","23","128","np"
"SE11c.2","2022-23","Alleged young offenders involved in police proceedings","10-17 years old","All people","Aboriginal and Torres Strait Islander people","Young people proceeded against by police","Number","","Aboriginal and Torres Strait Islander young people","Proceeded against three or more times","10-17 years old","","","ABS (unpublished) Recorded Crime - Offenders","no.","1342","np","1227","np","208","np","13","257","np"
"SE11c.2","2022-23","Alleged young offenders involved in police proceedings","10-17 years old","All people","Non-Indigenous people","Young people proceeded against by police","Number","","Non-Indigenous young people","Proceeded against once","10-17 years old","","","ABS (unpublished) Recorded Crime - Offenders","no.","4899","np","5238","np","878","np","190","34","np"
"SE11c.2","2022-23","Alleged young offenders involved in police proceedings","10-17 years old","All people","Non-Indigenous people","Young people proceeded against by police","Number","","Non-Indigenous young people","Proceeded against twice","10-17 years old","","","ABS (unpublished) Recorded Crime - Offenders","no.","873","np","1014","np","164","np","36","3","np"
"SE11c.2","2022-23","Alleged young offenders involved in police proceedings","10-17 years old","All people","Non-Indigenous people","Young people proceeded against by police","Number","","Non-Indigenous young people","Proceeded against three or more times","10-17 years old","","","ABS (unpublished) Recorded Crime - Offenders","no.","1129","np","1277","np","189","np","37","11","np"
"SE11c.2","2022-23","Alleged young offenders involved in police proceedings","10-17 years old","All people","Unknown Indigenous status","Young people proceeded against by police","Number","","Indigenous status not stated","Proceeded against once","10-17 years old","","","ABS (unpublished) Recorded Crime - Offenders","no.","468","np","36","np","220","np","0","0","np"
"SE11c.2","2022-23","Alleged young offenders involved in police proceedings","10-17 years old","All people","Unknown Indigenous status","Young people proceeded against by police","Number","","Indigenous status not stated","Proceeded against twice","10-17 years old","","","ABS (unpublished) Recorded Crime - Offenders","no.","17","np","0","np","6","np","0","0","np"
"SE11c.2","2022-23","Alleged young offenders involved in police proceedings","10-17 years old","All people","Unknown Indigenous status","Young people proceeded against by police","Number","","Indigenous status not stated","Proceeded against three or more times","10-17 years old","","","ABS (unpublished) Recorded Crime - Offenders","no.","9","np","0","np","0","np","0","0","np"
"SE11c.2","2021-22","Alleged young offenders involved in police proceedings","10-17 years old","All people","Aboriginal and Torres Strait Islander people","Young people proceeded against by police","Proportion","","Aboriginal and Torres Strait Islander young people","Proceeded against once","10-17 years old","","","Derived from ABS (unpublished) Recorded Crime - Offenders","%","38.8","np","42.7","np","46.7","np","50.0","43.3","np"
"SE11c.2","2021-22","Alleged young offenders involved in police proceedings","10-17 years old","All people","Aboriginal and Torres Strait Islander people","Young people proceeded against by police","Proportion","","Aboriginal and Torres Strait Islander young people","Proceeded against twice","10-17 years old","","","Derived from ABS (unpublished) Recorded Crime - Offenders","%","17.9","np","17.3","np","16.8","np","21.7","21.6","np"
"SE11c.2","2021-22","Alleged young offenders involved in police proceedings","10-17 years old","All people","Aboriginal and Torres Strait Islander people","Young people proceeded against by police","Proportion","","Aboriginal and Torres Strait Islander young people","Proceeded against three or more times","10-17 years old","","","Derived from ABS (unpublished) Recorded Crime - Offenders","%","43.4","np","40.2","np","36.7","np","34.8","35.5","np"
"SE11c.2","2021-22","Alleged young offenders involved in police proceedings","10-17 years old","All people","Non-Indigenous people","Young people proceeded against by police","Proportion","","Non-Indigenous young people","Proceeded against once","10-17 years old","","","Derived from ABS (unpublished) Recorded Crime - Offenders","%","70.1","np","70.4","np","71.0","np","70.7","70.6","np"
"SE11c.2","2021-22","Alleged young offenders involved in police proceedings","10-17 years old","All people","Non-Indigenous people","Young people proceeded against by police","Proportion","","Non-Indigenous young people","Proceeded against twice","10-17 years old","","","Derived from ABS (unpublished) Recorded Crime - Offenders","%","15.1","np","14.3","np","11.8","np","8.6","14.7","np"
"SE11c.2","2021-22","Alleged young offenders involved in police proceedings","10-17 years old","All people","Non-Indigenous people","Young people proceeded against by police","Proportion","","Non-Indigenous young people","Proceeded against three or more times","10-17 years old","","","Derived from ABS (unpublished) Recorded Crime - Offenders","%","14.8","np","15.2","np","16.6","np","17.8","32.4","np"
"SE11c.2","2021-22","Alleged young offenders involved in police proceedings","10-17 years old","All people","Unknown Indigenous status","Young people proceeded against by police","Proportion","","Indigenous status not stated","Proceeded against once","10-17 years old","","","Derived from ABS (unpublished) Recorded Crime - Offenders","%","90.1","np","100.0","np","96.9","np","..","50.0","np"
"SE11c.2","2021-22","Alleged young offenders involved in police proceedings","10-17 years old","All people","Unknown Indigenous status","Young people proceeded against by police","Proportion","","Indigenous status not stated","Proceeded against twice","10-17 years old","","","Derived from ABS (unpublished) Recorded Crime - Offenders","%","7.6","np","0","np","3.1","np","..","0","np"
"SE11c.2","2021-22","Alleged young offenders involved in police proceedings","10-17 years old","All people","Unknown Indigenous status","Young people proceeded against by police","Proportion","","Indigenous status not stated","Proceeded against three or more times","10-17 years old","","","Derived from ABS (unpublished) Recorded Crime - Offenders","%","2.5","np","0","np","1.2","np","..","37.5","np"
"SE11c.2","2021-22","Alleged young offenders involved in police proceedings","10-17 years old","All people","Aboriginal and Torres Strait Islander people","Young people proceeded against by police","Number","","Aboriginal and Torres Strait Islander young people","Proceeded against once","10-17 years old","","","ABS (unpublished) Recorded Crime - Offenders","no.","1116","np","1441","np","237","np","23","295","np"
"SE11c.2","2021-22","Alleged young offenders involved in police proceedings","10-17 years old","All people","Aboriginal and Torres Strait Islander people","Young people proceeded against by police","Number","","Aboriginal and Torres Strait Islander young people","Proceeded against twice","10-17 years old","","","ABS (unpublished) Recorded Crime - Offenders","no.","515","np","583","np","85","np","10","147","np"
"SE11c.2","2021-22","Alleged young offenders involved in police proceedings","10-17 years old","All people","Aboriginal and Torres Strait Islander people","Young people proceeded against by police","Number","","Aboriginal and Torres Strait Islander young people","Proceeded against three or more times","10-17 years old","","","ABS (unpublished) Recorded Crime - Offenders","no.","1249","np","1357","np","186","np","16","242","np"
"SE11c.2","2021-22","Alleged young offenders involved in police proceedings","10-17 years old","All people","Non-Indigenous people","Young people proceeded against by police","Number","","Non-Indigenous young people","Proceeded against once","10-17 years old","","","ABS (unpublished) Recorded Crime - Offenders","no.","7127","np","4747","np","745","np","123","24","np"
"SE11c.2","2021-22","Alleged young offenders involved in police proceedings","10-17 years old","All people","Non-Indigenous people","Young people proceeded against by police","Number","","Non-Indigenous young people","Proceeded against twice","10-17 years old","","","ABS (unpublished) Recorded Crime - Offenders","no.","1535","np","966","np","124","np","15","5","np"
"SE11c.2","2021-22","Alleged young offenders involved in police proceedings","10-17 years old","All people","Non-Indigenous people","Young people proceeded against by police","Number","","Non-Indigenous young people","Proceeded against three or more times","10-17 years old","","","ABS (unpublished) Recorded Crime - Offenders","no.","1502","np","1027","np","174","np","31","11","np"
"SE11c.2","2021-22","Alleged young offenders involved in police proceedings","10-17 years old","All people","Unknown Indigenous status","Young people proceeded against by police","Number","","Indigenous status not stated","Proceeded against once","10-17 years old","","","ABS (unpublished) Recorded Crime - Offenders","no.","1550","np","23","np","248","np","0","4","np"
"SE11c.2","2021-22","Alleged young offenders involved in police proceedings","10-17 years old","All people","Unknown Indigenous status","Young people proceeded against by police","Number","","Indigenous status not stated","Proceeded against twice","10-17 years old","","","ABS (unpublished) Recorded Crime - Offenders","no.","131","np","0","np","8","np","0","0","np"
"SE11c.2","2021-22","Alleged young offenders involved in police proceedings","10-17 years old","All people","Unknown Indigenous status","Young people proceeded against by police","Number","","Indigenous status not stated","Proceeded against three or more times","10-17 years old","","","ABS (unpublished) Recorded Crime - Offenders","no.","43","np","0","np","3","np","0","3","np"
"SE11c.2","2020-21","Alleged young offenders involved in police proceedings","10-17 years old","All people","Aboriginal and Torres Strait Islander people","Young people proceeded against by police","Proportion","","Aboriginal and Torres Strait Islander young people","Proceeded against once","10-17 years old","","","Derived from ABS (unpublished) Recorded Crime - Offenders","%","40.3","np","44.9","np","49.8","np","63.3","47.0","np"
"SE11c.2","2020-21","Alleged young offenders involved in police proceedings","10-17 years old","All people","Aboriginal and Torres Strait Islander people","Young people proceeded against by police","Proportion","","Aboriginal and Torres Strait Islander young people","Proceeded against twice","10-17 years old","","","Derived from ABS (unpublished) Recorded Crime - Offenders","%","19.4","np","16.3","np","16.5","np","16.3","16.5","np"
"SE11c.2","2020-21","Alleged young offenders involved in police proceedings","10-17 years old","All people","Aboriginal and Torres Strait Islander people","Young people proceeded against by police","Proportion","","Aboriginal and Torres Strait Islander young people","Proceeded against three or more times","10-17 years old","","","Derived from ABS (unpublished) Recorded Crime - Offenders","%","40.2","np","38.8","np","32.2","np","10.2","36.0","np"
"SE11c.2","2020-21","Alleged young offenders involved in police proceedings","10-17 years old","All people","Non-Indigenous people","Young people proceeded against by police","Proportion","","Non-Indigenous young people","Proceeded against once","10-17 years old","","","Derived from ABS (unpublished) Recorded Crime - Offenders","%","65.9","np","70.7","np","71.4","np","74.5","65.9","np"
"SE11c.2","2020-21","Alleged young offenders involved in police proceedings","10-17 years old","All people","Non-Indigenous people","Young people proceeded against by police","Proportion","","Non-Indigenous young people","Proceeded against twice","10-17 years old","","","Derived from ABS (unpublished) Recorded Crime - Offenders","%","15.5","np","14.2","np","14.0","np","11.3","27.3","np"
"SE11c.2","2020-21","Alleged young offenders involved in police proceedings","10-17 years old","All people","Non-Indigenous people","Young people proceeded against by police","Proportion","","Non-Indigenous young people","Proceeded against three or more times","10-17 years old","","","Derived from ABS (unpublished) Recorded Crime - Offenders","%","18.6","np","15.2","np","15.1","np","11.3","11.4","np"
"SE11c.2","2020-21","Alleged young offenders involved in police proceedings","10-17 years old","All people","Unknown Indigenous status","Young people proceeded against by police","Proportion","","Indigenous status not stated","Proceeded against once","10-17 years old","","","Derived from ABS (unpublished) Recorded Crime - Offenders","%","91.1","np","100.0","np","94.1","np","..","0","np"
"SE11c.2","2020-21","Alleged young offenders involved in police proceedings","10-17 years old","All people","Unknown Indigenous status","Young people proceeded against by police","Proportion","","Indigenous status not stated","Proceeded against twice","10-17 years old","","","Derived from ABS (unpublished) Recorded Crime - Offenders","%","6.3","np","2.2","np","3.8","np","..","0","np"
"SE11c.2","2020-21","Alleged young offenders involved in police proceedings","10-17 years old","All people","Unknown Indigenous status","Young people proceeded against by police","Proportion","","Indigenous status not stated","Proceeded against three or more times","10-17 years old","","","Derived from ABS (unpublished) Recorded Crime - Offenders","%","2.1","np","0","np","0.8","np","..","0","np"
"SE11c.2","2020-21","Alleged young offenders involved in police proceedings","10-17 years old","All people","Aboriginal and Torres Strait Islander people","Young people proceeded against by police","Number","","Aboriginal and Torres Strait Islander young people","Proceeded against once","10-17 years old","","","ABS (unpublished) Recorded Crime - Offenders","no.","980","np","1502","np","232","np","31","270","np"
"SE11c.2","2020-21","Alleged young offenders involved in police proceedings","10-17 years old","All people","Aboriginal and Torres Strait Islander people","Young people proceeded against by police","Number","","Aboriginal and Torres Strait Islander young people","Proceeded against twice","10-17 years old","","","ABS (unpublished) Recorded Crime - Offenders","no.","471","np","546","np","77","np","8","95","np"
"SE11c.2","2020-21","Alleged young offenders involved in police proceedings","10-17 years old","All people","Aboriginal and Torres Strait Islander people","Young people proceeded against by police","Number","","Aboriginal and Torres Strait Islander young people","Proceeded against three or more times","10-17 years old","","","ABS (unpublished) Recorded Crime - Offenders","no.","978","np","1298","np","150","np","5","207","np"
"SE11c.2","2020-21","Alleged young offenders involved in police proceedings","10-17 years old","All people","Non-Indigenous people","Young people proceeded against by police","Number","","Non-Indigenous young people","Proceeded against once","10-17 years old","","","ABS (unpublished) Recorded Crime - Offenders","no.","7321","np","4748","np","832","np","152","29","np"
"SE11c.2","2020-21","Alleged young offenders involved in police proceedings","10-17 years old","All people","Non-Indigenous people","Young people proceeded against by police","Number","","Non-Indigenous young people","Proceeded against twice","10-17 years old","","","ABS (unpublished) Recorded Crime - Offenders","no.","1722","np","951","np","163","np","23","12","np"
"SE11c.2","2020-21","Alleged young offenders involved in police proceedings","10-17 years old","All people","Non-Indigenous people","Young people proceeded against by police","Number","","Non-Indigenous young people","Proceeded against three or more times","10-17 years old","","","ABS (unpublished) Recorded Crime - Offenders","no.","2073","np","1021","np","176","np","23","5","np"
"SE11c.2","2020-21","Alleged young offenders involved in police proceedings","10-17 years old","All people","Unknown Indigenous status","Young people proceeded against by police","Number","","Indigenous status not stated","Proceeded against once","10-17 years old","","","ABS (unpublished) Recorded Crime - Offenders","no.","2196","np","134","np","348","np","0","0","np"
"SE11c.2","2020-21","Alleged young offenders involved in police proceedings","10-17 years old","All people","Unknown Indigenous status","Young people proceeded against by police","Number","","Indigenous status not stated","Proceeded against twice","10-17 years old","","","ABS (unpublished) Recorded Crime - Offenders","no.","153","np","3","np","14","np","0","0","np"
"SE11c.2","2020-21","Alleged young offenders involved in police proceedings","10-17 years old","All people","Unknown Indigenous status","Young people proceeded against by police","Number","","Indigenous status not stated","Proceeded against three or more times","10-17 years old","","","ABS (unpublished) Recorded Crime - Offenders","no.","51","np","0","np","3","np","0","0","np"
"SE11c.2","2019-20","Alleged young offenders involved in police proceedings","10-17 years old","All people","Aboriginal and Torres Strait Islander people","Young people proceeded against by police","Proportion","","Aboriginal and Torres Strait Islander young people","Proceeded against once","10-17 years old","","","Derived from ABS (unpublished) Recorded Crime - Offenders","%","41.4","np","42.4","np","56.9","np","48.2","46.9","np"
"SE11c.2","2019-20","Alleged young offenders involved in police proceedings","10-17 years old","All people","Aboriginal and Torres Strait Islander people","Young people proceeded against by police","Proportion","","Aboriginal and Torres Strait Islander young people","Proceeded against twice","10-17 years old","","","Derived from ABS (unpublished) Recorded Crime - Offenders","%","19.9","np","17.4","np","10.6","np","21.4","22.4","np"
"SE11c.2","2019-20","Alleged young offenders involved in police proceedings","10-17 years old","All people","Aboriginal and Torres Strait Islander people","Young people proceeded against by police","Proportion","","Aboriginal and Torres Strait Islander young people","Proceeded against three or more times","10-17 years old","","","Derived from ABS (unpublished) Recorded Crime - Offenders","%","38.8","np","40.2","np","31.9","np","26.8","31.7","np"
"SE11c.2","2019-20","Alleged young offenders involved in police proceedings","10-17 years old","All people","Non-Indigenous people","Young people proceeded against by police","Proportion","","Non-Indigenous young people","Proceeded against once","10-17 years old","","","Derived from ABS (unpublished) Recorded Crime - Offenders","%","66.1","np","68.7","np","73.4","np","74.3","63.3","np"
"SE11c.2","2019-20","Alleged young offenders involved in police proceedings","10-17 years old","All people","Non-Indigenous people","Young people proceeded against by police","Proportion","","Non-Indigenous young people","Proceeded against twice","10-17 years old","","","Derived from ABS (unpublished) Recorded Crime - Offenders","%","14.0","np","15.4","np","12.0","np","11.1","10.2","np"
"SE11c.2","2019-20","Alleged young offenders involved in police proceedings","10-17 years old","All people","Non-Indigenous people","Young people proceeded against by police","Proportion","","Non-Indigenous young people","Proceeded against three or more times","10-17 years old","","","Derived from ABS (unpublished) Recorded Crime - Offenders","%","19.9","np","15.8","np","14.7","np","14.2","30.6","np"
"SE11c.2","2019-20","Alleged young offenders involved in police proceedings","10-17 years old","All people","Unknown Indigenous status","Young people proceeded against by police","Proportion","","Indigenous status not stated","Proceeded against once","10-17 years old","","","Derived from ABS (unpublished) Recorded Crime - Offenders","%","90.1","np","97.4","np","57.7","np","..","..","np"
"SE11c.2","2019-20","Alleged young offenders involved in police proceedings","10-17 years old","All people","Unknown Indigenous status","Young people proceeded against by police","Proportion","","Indigenous status not stated","Proceeded against twice","10-17 years old","","","Derived from ABS (unpublished) Recorded Crime - Offenders","%","7.1","np","0","np","11.5","np","..","..","np"
"SE11c.2","2019-20","Alleged young offenders involved in police proceedings","10-17 years old","All people","Unknown Indigenous status","Young people proceeded against by police","Proportion","","Indigenous status not stated","Proceeded against three or more times","10-17 years old","","","Derived from ABS (unpublished) Recorded Crime - Offenders","%","2.8","np","0","np","30.8","np","..","..","np"
"SE11c.2","2019-20","Alleged young offenders involved in police proceedings","10-17 years old","All people","Aboriginal and Torres Strait Islander people","Young people proceeded against by police","Number","","Aboriginal and Torres Strait Islander young people","Proceeded against once","10-17 years old","","","ABS (unpublished) Recorded Crime - Offenders","no.","986","np","1469","np","257","np","27","266","np"
