"Table_Number","Year","Measure","Age","Sex","Indigenous_Status","Remoteness","Service_Type","Year_Dollars","Description1","Description2","Description3","Description4","Description5","Description6","Data_Source","Unit","NSW","Vic","Qld","WA","SA","Tas","ACT","NT","Aust"
"17A.8","2023-24","Under supervision","10-17 years old","All people","Aboriginal and Torres Strait Islander","All areas","Community-based supervision","","","Rate (per 10000 young people)","Community-based supervision","","","","Derived from AIHW (unpublished) Youth Justice National Minimum Dataset; ABS Estimates and Projections Aboriginal and Torres Strait Islander Australians","rate","62.4","27.5","119.2","124.8","124.4","46.6","121.9","na","83.9"
"17A.8","2023-24","Under supervision","10-17 years old","All people","Non-Indigenous","All areas","Community-based supervision","","","Rate (per 10000 young people)","Community-based supervision","","","","Derived from AIHW (unpublished) Youth Justice National Minimum Dataset; ABS National state and territory population - December; ABS Estimates and Projections Aboriginal and Torres Strait Islander Australians","rate","4.1","2.8","5.5","6.2","5.8","10.3","12.9","na","4.6"
"17A.8","2023-24","Under supervision","10-17 years old","All people","Aboriginal and Torres Strait Islander to non-Indigenous","All areas","Community-based supervision","","","Rate ratio","Community-based supervision","","","","Derived from AIHW (unpublished) Youth Justice National Minimum Dataset; ABS National state and territory population - December; ABS Estimates and Projections Aboriginal and Torres Strait Islander Australians","ratio","15.2","9.9","21.8","20.1","21.5","4.5","9.4","na","18.2"
"17A.8","2022-23","Under supervision","10-17 years old","All people","Aboriginal and Torres Strait Islander","All areas","Community-based supervision","","","Rate (per 10000 young people)","Community-based supervision","","","","Derived from AIHW (unpublished) Youth Justice National Minimum Dataset; ABS Estimates and Projections Aboriginal and Torres Strait Islander Australians","rate","62.0","27.6","116.3","138.3","93.2","33.4","50.6","136.6","89.6"
"17A.8","2022-23","Under supervision","10-17 years old","All people","Non-Indigenous","All areas","Community-based supervision","","","Rate (per 10000 young people)","Community-based supervision","","","","Derived from AIHW (unpublished) Youth Justice National Minimum Dataset; ABS National state and territory population - December; ABS Estimates and Projections Aboriginal and Torres Strait Islander Australians","rate","4.4","3.2","5.8","6.2","5.9","9.5","8.1","3.3","4.8"
"17A.8","2022-23","Under supervision","10-17 years old","All people","Aboriginal and Torres Strait Islander to non-Indigenous","All areas","Community-based supervision","","","Rate ratio","Community-based supervision","","","","Derived from AIHW (unpublished) Youth Justice National Minimum Dataset; ABS National state and territory population - December; ABS Estimates and Projections Aboriginal and Torres Strait Islander Australians","ratio","14.2","8.7","20.1","22.5","15.9","3.5","6.3","42.0","18.6"
"17A.8","2021-22","Under supervision","10-17 years old","All people","Aboriginal and Torres Strait Islander","All areas","Community-based supervision","","","Rate (per 10000 young people)","Community-based supervision","","","","Derived from AIHW (unpublished) Youth Justice National Minimum Dataset; ABS Estimates and Projections Aboriginal and Torres Strait Islander Australians","rate","61.1","38.2","121.0","115.4","76.7","33.6","33.1","79.4","83.9"
"17A.8","2021-22","Under supervision","10-17 years old","All people","Non-Indigenous","All areas","Community-based supervision","","","Rate (per 10000 young people)","Community-based supervision","","","","Derived from AIHW (unpublished) Youth Justice National Minimum Dataset; ABS National state and territory population - December; ABS Estimates and Projections Aboriginal and Torres Strait Islander Australians","rate","5.7","3.9","6.3","5.8","5.0","7.8","8.4","3.8","5.4"
"17A.8","2021-22","Under supervision","10-17 years old","All people","Aboriginal and Torres Strait Islander to non-Indigenous","All areas","Community-based supervision","","","Rate ratio","Community-based supervision","","","","Derived from AIHW (unpublished) Youth Justice National Minimum Dataset; ABS National state and territory population - December; ABS Estimates and Projections Aboriginal and Torres Strait Islander Australians","ratio","10.7","9.8","19.3","20.0","15.4","4.3","3.9","20.9","15.6"
"17A.8","2020-21","Under supervision","10-17 years old","All people","Aboriginal and Torres Strait Islander","All areas","Community-based supervision","","","Rate (per 10000 young people)","Community-based supervision","","","","Derived from AIHW (unpublished) Youth Justice National Minimum Dataset; ABS Estimates and Projections Aboriginal and Torres Strait Islander Australians","rate","66.0","49.9","124.1","103.7","70.9","39.5","45.3","55.5","84.3"
"17A.8","2020-21","Under supervision","10-17 years old","All people","Non-Indigenous","All areas","Community-based supervision","","","Rate (per 10000 young people)","Community-based supervision","","","","Derived from AIHW (unpublished) Youth Justice National Minimum Dataset; ABS National state and territory population - December; ABS Estimates and Projections Aboriginal and Torres Strait Islander Australians","rate","6.5","4.8","6.5","6.0","4.7","10.0","10.6","2.7","6.0"
"17A.8","2020-21","Under supervision","10-17 years old","All people","Aboriginal and Torres Strait Islander to non-Indigenous","All areas","Community-based supervision","","","Rate ratio","Community-based supervision","","","","Derived from AIHW (unpublished) Youth Justice National Minimum Dataset; ABS National state and territory population - December; ABS Estimates and Projections Aboriginal and Torres Strait Islander Australians","ratio","10.2","10.4","19.2","17.2","15.1","3.9","4.3","20.6","14.1"
"17A.8","2019-20","Under supervision","10-17 years old","All people","Aboriginal and Torres Strait Islander","All areas","Community-based supervision","","","Rate (per 10000 young people)","Community-based supervision","","","","Derived from AIHW (unpublished) Youth Justice National Minimum Dataset; ABS Estimates and Projections Aboriginal and Torres Strait Islander Australians","rate","73.8","55.7","148.4","147.1","94.5","59.1","71.6","84.5","103.6"
"17A.8","2019-20","Under supervision","10-17 years old","All people","Non-Indigenous","All areas","Community-based supervision","","","Rate (per 10000 young people)","Community-based supervision","","","","Derived from AIHW (unpublished) Youth Justice National Minimum Dataset; ABS National state and territory population - December; ABS Estimates and Projections Aboriginal and Torres Strait Islander Australians","rate","6.7","6.2","8.0","8.6","5.5","12.7","10.3","3.9","7.1"
"17A.8","2019-20","Under supervision","10-17 years old","All people","Aboriginal and Torres Strait Islander to non-Indigenous","All areas","Community-based supervision","","","Rate ratio","Community-based supervision","","","","Derived from AIHW (unpublished) Youth Justice National Minimum Dataset; ABS National state and territory population - December; ABS Estimates and Projections Aboriginal and Torres Strait Islander Australians","ratio","11.1","9.0","18.5","17.0","17.2","4.6","7.0","21.9","14.5"
"17A.8","2018-19","Under supervision","10-17 years old","All people","Aboriginal and Torres Strait Islander","All areas","Community-based supervision","","","Rate (per 10000 young people)","Community-based supervision","","","","Derived from AIHW (unpublished) Youth Justice National Minimum Dataset; ABS Estimates and Projections Aboriginal and Torres Strait Islander Australians","rate","76.5","69.3","174.5","171.1","90.7","55.9","90.6","84.3","115.5"
"17A.8","2018-19","Under supervision","10-17 years old","All people","Non-Indigenous","All areas","Community-based supervision","","","Rate (per 10000 young people)","Community-based supervision","","","","Derived from AIHW (unpublished) Youth Justice National Minimum Dataset; ABS National state and territory population - December; ABS Estimates and Projections Aboriginal and Torres Strait Islander Australians","rate","7.3","6.8","9.9","9.3","5.2","15.0","11.2","3.3","8.0"
"17A.8","2018-19","Under supervision","10-17 years old","All people","Aboriginal and Torres Strait Islander to non-Indigenous","All areas","Community-based supervision","","","Rate ratio","Community-based supervision","","","","Derived from AIHW (unpublished) Youth Justice National Minimum Dataset; ABS National state and territory population - December; ABS Estimates and Projections Aboriginal and Torres Strait Islander Australians","ratio","10.5","10.2","17.5","18.3","17.5","3.7","8.1","25.4","14.5"
"17A.8","2017-18","Under supervision","10-17 years old","All people","Aboriginal and Torres Strait Islander","All areas","Community-based supervision","","","Rate (per 10000 young people)","Community-based supervision","","","","Derived from AIHW (unpublished) Youth Justice National Minimum Dataset; ABS Estimates and Projections Aboriginal and Torres Strait Islander Australians","rate","78.8","77.3","163.6","192.1","110.0","50.7","141.2","77.6","116.9"
"17A.8","2017-18","Under supervision","10-17 years old","All people","Non-Indigenous","All areas","Community-based supervision","","","Rate (per 10000 young people)","Community-based supervision","","","","Derived from AIHW (unpublished) Youth Justice National Minimum Dataset; ABS National state and territory population - December; ABS Estimates and Projections Aboriginal and Torres Strait Islander Australians","rate","6.8","7.3","11.2","8.2","6.0","13.7","15.2","2.8","8.2"
"17A.8","2017-18","Under supervision","10-17 years old","All people","Aboriginal and Torres Strait Islander to non-Indigenous","All areas","Community-based supervision","","","Rate ratio","Community-based supervision","","","","Derived from AIHW (unpublished) Youth Justice National Minimum Dataset; ABS National state and territory population - December; ABS Estimates and Projections Aboriginal and Torres Strait Islander Australians","ratio","11.6","10.6","14.7","23.3","18.2","3.7","9.3","27.9","14.3"
"17A.9","2024-25","Under supervision","10-13 years old","All people","Aboriginal and Torres Strait Islander","All areas","Detention-based supervision","","Detention","","Number of young people during the year","","","","AIHW (unpublished) Youth Justice National Minimum Dataset","no.","86","np","91","112","34","np","np","np","362"
"17A.9","2024-25","Under supervision","10-13 years old","All people","Non-Indigenous","All areas","Detention-based supervision","","Detention","","Number of young people during the year","","","","AIHW (unpublished) Youth Justice National Minimum Dataset","no.","55","np","33","27","14","np","np","np","141"
"17A.9","2024-25","Under supervision","10-13 years old","All people","All people","All areas","Detention-based supervision","","Detention","","Number of young people during the year","","","","AIHW (unpublished) Youth Justice National Minimum Dataset","no.","149","5","124","139","48","7","6","33","511"
"17A.9","2024-25","Under supervision","10-13 years old","All people","Aboriginal and Torres Strait Islander","All areas","Detention-based supervision","","Detention","","Rate (per 10000 young people aged 10-13 years)","","","","Derived from AIHW (unpublished) Youth Justice National Minimum Dataset; ABS Estimates and Projections Aboriginal and Torres Strait Islander Australians","rate","27.7","np","36.2","108.4","73.0","np","np","np","41.6"
"17A.9","2024-25","Under supervision","10-13 years old","All people","Non-Indigenous","All areas","Detention-based supervision","","Detention","","Rate (per 10000 young people aged 10-13 years)","","","","Derived from AIHW (unpublished) Youth Justice National Minimum Dataset; ABS National state and territory population - December; ABS Estimates and Projections Aboriginal and Torres Strait Islander Australians","rate","1.4","np","1.3","1.9","1.7","np","np","np","1.1"
"17A.9","2024-25","Under supervision","10-13 years old","All people","All people","All areas","Detention-based supervision","","Detention","","Rate (per 10000 young people aged 10-13 years)","","","","Derived from AIHW (unpublished) Youth Justice National Minimum Dataset; ABS National state and territory population - December","rate","3.6","0.1","4.3","9.2","5.4","2.7","5.2","23.0","3.8"
"17A.9","2024-25","Under supervision","14-17 years old","All people","Aboriginal and Torres Strait Islander","All areas","Detention-based supervision","","Detention","","Number of young people during the year","","","","AIHW (unpublished) Youth Justice National Minimum Dataset","no.","684","49","633","425","149","20","31","285","2276"
"17A.9","2024-25","Under supervision","14-17 years old","All people","Non-Indigenous","All areas","Detention-based supervision","","Detention","","Number of young people during the year","","","","AIHW (unpublished) Youth Justice National Minimum Dataset","no.","596","295","295","245","139","43","62","9","1684"
"17A.9","2024-25","Under supervision","14-17 years old","All people","All people","All areas","Detention-based supervision","","Detention","","Number of young people during the year","","","","AIHW (unpublished) Youth Justice National Minimum Dataset","no.","1321","346","931","670","291","63","93","297","4012"
"17A.9","2024-25","Under supervision","14-17 years old","All people","Aboriginal and Torres Strait Islander","All areas","Detention-based supervision","","Detention","","Rate (per 10000 young people aged 14-17 years)","","","","Derived from AIHW (unpublished) Youth Justice National Minimum Dataset; ABS Estimates and Projections Aboriginal and Torres Strait Islander Australians","rate","220.4","69.7","244.0","406.2","304.4","62.6","422.9","502.9","255.8"
"17A.9","2024-25","Under supervision","14-17 years old","All people","Non-Indigenous","All areas","Detention-based supervision","","Detention","","Rate (per 10000 young people aged 14-17 years)","","","","Derived from AIHW (unpublished) Youth Justice National Minimum Dataset; ABS National state and territory population - December; ABS Estimates and Projections Aboriginal and Torres Strait Islander Australians","rate","15.5","9.1","11.0","17.6","16.4","17.5","28.7","11.9","13.4"
"17A.9","2024-25","Under supervision","14-17 years old","All people","All people","All areas","Detention-based supervision","","Detention","","Rate (per 10000 young people aged 14-17 years)","","","","Derived from AIHW (unpublished) Youth Justice National Minimum Dataset; ABS National state and territory population - December","rate","31.8","10.4","31.6","44.9","32.4","22.7","41.6","224.4","29.8"
"17A.9","2024-25","Under supervision","18+ years old","All people","Aboriginal and Torres Strait Islander","All areas","Detention-based supervision","","Detention","","Number of young people during the year","","","","AIHW (unpublished) Youth Justice National Minimum Dataset","no.","42","np","14","0","4","np","np","np","76"
"17A.9","2024-25","Under supervision","18+ years old","All people","Non-Indigenous","All areas","Detention-based supervision","","Detention","","Number of young people during the year","","","","AIHW (unpublished) Youth Justice National Minimum Dataset","no.","48","np","8","0","8","np","np","np","141"
"17A.9","2024-25","Under supervision","18+ years old","All people","All people","All areas","Detention-based supervision","","Detention","","Number of young people during the year","","","","AIHW (unpublished) Youth Justice National Minimum Dataset","no.","91","91","22","0","12","np","np","3","219"
"17A.9","2024-25","Under supervision","Young people","All people","Aboriginal and Torres Strait Islander","All areas","Detention-based supervision","","Detention","","Number of young people during the year","","","","AIHW (unpublished) Youth Justice National Minimum Dataset","no.","812","63","738","537","187","24","34","319","2714"
"17A.9","2024-25","Under supervision","Young people","All people","Non-Indigenous","All areas","Detention-based supervision","","Detention","","Number of young people during the year","","","","AIHW (unpublished) Youth Justice National Minimum Dataset","no.","699","377","336","272","161","46","65","10","1966"
"17A.9","2024-25","Under supervision","Young people","All people","All people","All areas","Detention-based supervision","","Detention","","Number of young people during the year","","","","AIHW (unpublished) Youth Justice National Minimum Dataset","no.","1561","442","1077","809","351","70","99","333","4742"
"17A.9","2024-25","Under supervision","10-13 years old","All people","Aboriginal and Torres Strait Islander","All areas","Community-based supervision","","Community-based supervision","","Number of young people during the year","","","","AIHW (unpublished) Youth Justice National Minimum Dataset","no.","16","4","147","83","29","np","np","83","371"
"17A.9","2024-25","Under supervision","10-13 years old","All people","Non-Indigenous","All areas","Community-based supervision","","Community-based supervision","","Number of young people during the year","","","","AIHW (unpublished) Youth Justice National Minimum Dataset","no.","11","8","55","25","11","np","np","1","119"
"17A.9","2024-25","Under supervision","10-13 years old","All people","All people","All areas","Community-based supervision","","Community-based supervision","","Number of young people during the year","","","","AIHW (unpublished) Youth Justice National Minimum Dataset","no.","28","12","202","108","40","10","8","87","495"
"17A.9","2024-25","Under supervision","10-13 years old","All people","Aboriginal and Torres Strait Islander","All areas","Community-based supervision","","Community-based supervision","","Rate (per 10000 young people aged 10-13 years)","","","","Derived from AIHW (unpublished) Youth Justice National Minimum Dataset; ABS Estimates and Projections Aboriginal and Torres Strait Islander Australians","rate","5.2","5.8","58.4","80.3","62.3","np","np","145.2","42.6"
"17A.9","2024-25","Under supervision","10-13 years old","All people","Non-Indigenous","All areas","Community-based supervision","","Community-based supervision","","Rate (per 10000 young people aged 10-13 years)","","","","Derived from AIHW (unpublished) Youth Justice National Minimum Dataset; ABS National state and territory population - December; ABS Estimates and Projections Aboriginal and Torres Strait Islander Australians","rate","0.3","0.2","2.1","1.8","1.3","np","np","1.2","1.0"
"17A.9","2024-25","Under supervision","10-13 years old","All people","All people","All areas","Community-based supervision","","Community-based supervision","","Rate (per 10000 young people aged 10-13 years)","","","","Derived from AIHW (unpublished) Youth Justice National Minimum Dataset; ABS National state and territory population - December","rate","0.7","0.4","7.0","7.2","4.5","3.8","7.0","60.6","3.7"
"17A.9","2024-25","Under supervision","14-17 years old","All people","Aboriginal and Torres Strait Islander","All areas","Community-based supervision","","Community-based supervision","","Number of young people during the year","","","","AIHW (unpublished) Youth Justice National Minimum Dataset","no.","876","109","1129","536","222","72","38","508","3490"
"17A.9","2024-25","Under supervision","14-17 years old","All people","Non-Indigenous","All areas","Community-based supervision","","Community-based supervision","","Number of young people during the year","","","","AIHW (unpublished) Youth Justice National Minimum Dataset","no.","692","476","590","431","190","122","87","23","2611"
"17A.9","2024-25","Under supervision","14-17 years old","All people","All people","All areas","Community-based supervision","","Community-based supervision","","Number of young people during the year","","","","AIHW (unpublished) Youth Justice National Minimum Dataset","no.","1640","589","1731","967","419","198","125","545","6214"
"17A.9","2024-25","Under supervision","14-17 years old","All people","Aboriginal and Torres Strait Islander","All areas","Community-based supervision","","Community-based supervision","","Rate (per 10000 young people aged 14-17 years)","","","","Derived from AIHW (unpublished) Youth Justice National Minimum Dataset; ABS Estimates and Projections Aboriginal and Torres Strait Islander Australians","rate","282.3","155.1","435.1","512.3","453.5","225.3","518.4","896.4","392.2"
"17A.9","2024-25","Under supervision","14-17 years old","All people","Non-Indigenous","All areas","Community-based supervision","","Community-based supervision","","Rate (per 10000 young people aged 14-17 years)","","","","Derived from AIHW (unpublished) Youth Justice National Minimum Dataset; ABS National state and territory population - December; ABS Estimates and Projections Aboriginal and Torres Strait Islander Australians","rate","18.0","14.7","22.0","31.0","22.4","49.6","40.2","30.4","20.8"
"17A.9","2024-25","Under supervision","14-17 years old","All people","All people","All areas","Community-based supervision","","Community-based supervision","","Rate (per 10000 young people aged 14-17 years)","","","","Derived from AIHW (unpublished) Youth Justice National Minimum Dataset; ABS National state and territory population - December","rate","39.4","17.8","58.8","64.8","46.7","71.3","55.9","411.8","46.2"
"17A.9","2024-25","Under supervision","18+ years old","All people","Aboriginal and Torres Strait Islander","All areas","Community-based supervision","","Community-based supervision","","Number of young people during the year","","","","AIHW (unpublished) Youth Justice National Minimum Dataset","no.","42","81","267","59","28","np","np","326","822"
"17A.9","2024-25","Under supervision","18+ years old","All people","Non-Indigenous","All areas","Community-based supervision","","Community-based supervision","","Number of young people during the year","","","","AIHW (unpublished) Youth Justice National Minimum Dataset","no.","29","317","255","42","34","np","np","20","747"
"17A.9","2024-25","Under supervision","18+ years old","All people","All people","All areas","Community-based supervision","","Community-based supervision","","Number of young people during the year","","","","AIHW (unpublished) Youth Justice National Minimum Dataset","no.","73","398","523","101","63","49","21","363","1591"
"17A.9","2024-25","Under supervision","Young people","All people","Aboriginal and Torres Strait Islander","All areas","Community-based supervision","","Community-based supervision","","Number of young people during the year","","","","AIHW (unpublished) Youth Justice National Minimum Dataset","no.","934","194","1543","679","279","90","48","917","4684"
"17A.9","2024-25","Under supervision","Young people","All people","Non-Indigenous","All areas","Community-based supervision","","Community-based supervision","","Number of young people during the year","","","","AIHW (unpublished) Youth Justice National Minimum Dataset","no.","732","801","900","498","235","161","106","44","3477"
"17A.9","2024-25","Under supervision","Young people","All people","All people","All areas","Community-based supervision","","Community-based supervision","","Number of young people during the year","","","","AIHW (unpublished) Youth Justice National Minimum Dataset","no.","1741","999","2456","1177","522","257","154","995","8301"
"17A.10","2024-25","Government expenditure","Young people","All people","All people","All areas","Detention-based supervision","2024-25 dollars","Government real recurrent expenditure","","Detention-based services","","","","Derived from State and territory governments (unpublished); ABS Australian National Accounts: National Income Expenditure and Product","$'000","217414","343112","298028","115311","50060","29571","29001","58657","1141155"
"17A.10","2024-25","Government expenditure","Young people","All people","All people","All areas","Community-based supervision","2024-25 dollars","Government real recurrent expenditure","","Community-based services","","","","Derived from State and territory governments (unpublished); ABS Australian National Accounts: National Income Expenditure and Product","$'000","108624","91991","227640","35353","7506","13758","6983","27707","519560"
"17A.10","2024-25","Government expenditure","Young people","All people","All people","All areas","Group conferencing","2024-25 dollars","Government real recurrent expenditure","","Group conferencing","","","","Derived from State and territory governments (unpublished); ABS Australian National Accounts: National Income Expenditure and Product","$'000","1069","2898","10421","28944","2445","177","450","16076","62480"
"17A.10","2024-25","Government expenditure","Young people","All people","All people","All areas","","2024-25 dollars","Government real recurrent expenditure","","Total expenditure","","","","Derived from State and territory governments (unpublished); ABS Australian National Accounts: National Income Expenditure and Product","$'000","327107","438001","536089","179607","60011","43506","36434","102441","1723195"
"17A.10","2024-25","Government expenditure","Young people","All people","All people","All areas","Detention-based supervision","2024-25 dollars","Government real recurrent expenditure","Per young person aged 10-17 years in the population","Detention-based services","","","","Derived from State and territory governments (unpublished); ABS Australian National Accounts: National Income Expenditure and Product; ABS National state and territory population - December","$","261.41","514.01","512.63","384.07","281.28","547.10","856.52","2125.81","426.63"
"17A.10","2024-25","Government expenditure","Young people","All people","All people","All areas","Community-based supervision","2024-25 dollars","Government real recurrent expenditure","Per young person aged 10-17 years in the population","Community-based services","","","","Derived from State and territory governments (unpublished); ABS Australian National Accounts: National Income Expenditure and Product; ABS National state and territory population - December","$","130.60","137.81","391.56","117.75","42.18","254.53","206.24","1004.12","194.24"
"17A.10","2024-25","Government expenditure","Young people","All people","All people","All areas","Group conferencing","2024-25 dollars","Government real recurrent expenditure","Per young person aged 10-17 years in the population","Group conferencing","","","","Derived from State and territory governments (unpublished); ABS Australian National Accounts: National Income Expenditure and Product; ABS National state and territory population - December","$","1.29","4.34","17.92","96.40","13.74","3.27","13.29","582.63","23.36"
"17A.10","2024-25","Government expenditure","Young people","All people","All people","All areas","","2024-25 dollars","Government real recurrent expenditure","Per young person aged 10-17 years in the population","Total expenditure","","","","Derived from State and territory governments (unpublished); ABS Australian National Accounts: National Income Expenditure and Product; ABS National state and territory population - December","$","393.29","656.16","922.11","598.22","337.20","804.91","1076.05","3712.56","644.24"
"17A.10","2023-24","Government expenditure","Young people","All people","All people","All areas","Detention-based supervision","2024-25 dollars","Government real recurrent expenditure","","Detention-based services","","","","Derived from State and territory governments (unpublished); ABS Australian National Accounts: National Income Expenditure and Product","$'000","231392","274344","260729","104373","50929","26830","29253","63133","1040982"
"17A.10","2023-24","Government expenditure","Young people","All people","All people","All areas","Community-based supervision","2024-25 dollars","Government real recurrent expenditure","","Community-based services","","","","Derived from State and territory governments (unpublished); ABS Australian National Accounts: National Income Expenditure and Product","$'000","119305","82975","186558","31691","6605","9003","8249","53523","497909"
"17A.10","2023-24","Government expenditure","Young people","All people","All people","All areas","Group conferencing","2024-25 dollars","Government real recurrent expenditure","","Group conferencing","","","","Derived from State and territory governments (unpublished); ABS Australian National Accounts: National Income Expenditure and Product","$'000","1226","2854","7935","27310","2526","130","947","3405","46333"
"17A.10","2023-24","Government expenditure","Young people","All people","All people","All areas","","2024-25 dollars","Government real recurrent expenditure","","Total expenditure","","","","Derived from State and territory governments (unpublished); ABS Australian National Accounts: National Income Expenditure and Product","$'000","351922","360172","455222","163374","60061","35963","38449","120061","1585224"
"17A.10","2023-24","Government expenditure","Young people","All people","All people","All areas","Detention-based supervision","2024-25 dollars","Government real recurrent expenditure","Per young person aged 10-17 years in the population","Detention-based services","","","","Derived from State and territory governments (unpublished); ABS Australian National Accounts: National Income Expenditure and Product; ABS National state and territory population - December","$","281.22","418.01","452.14","353.73","288.95","496.27","893.20","3168.99","395.17"
"17A.10","2023-24","Government expenditure","Young people","All people","All people","All areas","Community-based supervision","2024-25 dollars","Government real recurrent expenditure","Per young person aged 10-17 years in the population","Community-based services","","","","Derived from State and territory governments (unpublished); ABS Australian National Accounts: National Income Expenditure and Product; ABS National state and territory population - December","$","145.00","126.43","323.52","107.41","37.47","166.53","251.87","2686.65","189.01"
"17A.10","2023-24","Government expenditure","Young people","All people","All people","All areas","Group conferencing","2024-25 dollars","Government real recurrent expenditure","Per young person aged 10-17 years in the population","Group conferencing","","","","Derived from State and territory governments (unpublished); ABS Australian National Accounts: National Income Expenditure and Product; ABS National state and territory population - December","$","1.49","4.35","13.76","92.56","14.33","2.40","28.92","170.89","17.59"
"17A.10","2023-24","Government expenditure","Young people","All people","All people","All areas","","2024-25 dollars","Government real recurrent expenditure","Per young person aged 10-17 years in the population","Total expenditure","","","","Derived from State and territory governments (unpublished); ABS Australian National Accounts: National Income Expenditure and Product; ABS National state and territory population - December","$","427.71","548.78","789.41","553.69","340.76","665.20","1173.98","6026.53","601.76"
"17A.10","2022-23","Government expenditure","Young people","All people","All people","All areas","Detention-based supervision","2024-25 dollars","Government real recurrent expenditure","","Detention-based services","","","","Derived from State and territory governments (unpublished); ABS Australian National Accounts: National Income Expenditure and Product","$'000","218645","253262","225510","88039","39819","20577","26776","68029","940657"
"17A.10","2022-23","Government expenditure","Young people","All people","All people","All areas","Community-based supervision","2024-25 dollars","Government real recurrent expenditure","","Community-based services","","","","Derived from State and territory governments (unpublished); ABS Australian National Accounts: National Income Expenditure and Product","$'000","109694","79214","156281","28338","8955","9988","6776","55754","454999"
"17A.10","2022-23","Government expenditure","Young people","All people","All people","All areas","Group conferencing","2024-25 dollars","Government real recurrent expenditure","","Group conferencing","","","","Derived from State and territory governments (unpublished); ABS Australian National Accounts: National Income Expenditure and Product","$'000","1049","2927","8128","25460","2320","81","959","12243","53166"
"17A.10","2022-23","Government expenditure","Young people","All people","All people","All areas","","2024-25 dollars","Government real recurrent expenditure","","Total expenditure","","","","Derived from State and territory governments (unpublished); ABS Australian National Accounts: National Income Expenditure and Product","$'000","329388","335402","389919","141837","51094","30645","34511","136027","1448823"
"17A.10","2022-23","Government expenditure","Young people","All people","All people","All areas","Detention-based supervision","2024-25 dollars","Government real recurrent expenditure","Per young person aged 10-17 years in the population","Detention-based services","","","","Derived from State and territory governments (unpublished); ABS Australian National Accounts: National Income Expenditure and Product; ABS National state and territory population - December","$","269.93","395.82","399.03","306.79","230.18","381.55","619.92","2543.25","361.89"
"17A.10","2022-23","Government expenditure","Young people","All people","All people","All areas","Community-based supervision","2024-25 dollars","Government real recurrent expenditure","Per young person aged 10-17 years in the population","Community-based services","","","","Derived from State and territory governments (unpublished); ABS Australian National Accounts: National Income Expenditure and Product; ABS National state and territory population - December","$","135.42","123.80","276.53","98.75","51.77","185.20","156.89","2084.35","175.05"
"17A.10","2022-23","Government expenditure","Young people","All people","All people","All areas","Group conferencing","2024-25 dollars","Government real recurrent expenditure","Per young person aged 10-17 years in the population","Group conferencing","","","","Derived from State and territory governments (unpublished); ABS Australian National Accounts: National Income Expenditure and Product; ABS National state and territory population - December","$","1.29","4.57","14.38","88.72","13.41","1.50","22.20","457.71","20.45"
"17A.10","2022-23","Government expenditure","Young people","All people","All people","All areas","","2024-25 dollars","Government real recurrent expenditure","Per young person aged 10-17 years in the population","Total expenditure","","","","Derived from State and territory governments (unpublished); ABS Australian National Accounts: National Income Expenditure and Product; ABS National state and territory population - December","$","406.64","524.19","689.95","494.25","295.36","568.25","799.00","5085.31","557.39"
"17A.10","2021-22","Government expenditure","Young people","All people","All people","All areas","Detention-based supervision","2024-25 dollars","Government real recurrent expenditure","","Detention-based services","","","","Derived from State and territory governments (unpublished); ABS Australian National Accounts: National Income Expenditure and Product","$'000","216899","252394","248439","71571","42028","18361","24173","53685","927551"
"17A.10","2021-22","Government expenditure","Young people","All people","All people","All areas","Community-based supervision","2024-25 dollars","Government real recurrent expenditure","","Community-based services","","","","Derived from State and territory governments (unpublished); ABS Australian National Accounts: National Income Expenditure and Product","$'000","109772","84531","136689","27362","8717","9223","5406","53612","435311"
"17A.10","2021-22","Government expenditure","Young people","All people","All people","All areas","Group conferencing","2024-25 dollars","Government real recurrent expenditure","","Group conferencing","","","","Derived from State and territory governments (unpublished); ABS Australian National Accounts: National Income Expenditure and Product","$'000","975","3007","8056","23976","2040","101","851","10412","49418"
"17A.10","2021-22","Government expenditure","Young people","All people","All people","All areas","","2024-25 dollars","Government real recurrent expenditure","","Total expenditure","","","","Derived from State and territory governments (unpublished); ABS Australian National Accounts: National Income Expenditure and Product","$'000","327646","339932","393185","122909","52784","27685","30430","117709","1412281"
"17A.10","2021-22","Government expenditure","Young people","All people","All people","All areas","Detention-based supervision","2024-25 dollars","Government real recurrent expenditure","Per young person aged 10-17 years in the population","Detention-based services","","","","Derived from State and territory governments (unpublished); ABS Australian National Accounts: National Income Expenditure and Product; ABS National state and territory population - December","$","273.08","404.58","449.28","256.02","247.51","343.13","573.37","2032.76","364.75"
"17A.10","2021-22","Government expenditure","Young people","All people","All people","All areas","Community-based supervision","2024-25 dollars","Government real recurrent expenditure","Per young person aged 10-17 years in the population","Community-based services","","","","Derived from State and territory governments (unpublished); ABS Australian National Accounts: National Income Expenditure and Product; ABS National state and territory population - December","$","138.21","135.50","247.19","97.88","51.33","172.35","128.22","2030.00","171.18"
"17A.10","2021-22","Government expenditure","Young people","All people","All people","All areas","Group conferencing","2024-25 dollars","Government real recurrent expenditure","Per young person aged 10-17 years in the population","Group conferencing","","","","Derived from State and territory governments (unpublished); ABS Australian National Accounts: National Income Expenditure and Product; ABS National state and territory population - December","$","1.23","4.82","14.57","85.76","12.01","1.89","20.19","394.24","19.43"
