"Table_Number","Year","Measure","Indigenous_Status","Law_Enforced","Court_Type","Year_Dollars","Description1","Description2","Description3","Description4","Description5","Description6","Data_Source","Unit","NSW","Vic","Qld","WA","SA","Tas","ACT","NT","Aust cts","Aust"
"7A.21","2023-24","Backlog","All people","Civil","Coroners'","","Backlog; civil; at 30 June","","Coroners' courts","","","Cases >24 months","Derived from Australian state and territory court authorities and departments (unpublished)","%","21.2","17.0","17.5","6.2","13.4","15.8","20.8","12.8","..",""
"7A.21","2022-23","Backlog","All people","Civil","Supreme (excl. probate)","","Backlog; civil; at 30 June","","Supreme courts (excl. probate)","","Appeal","Pending case load","Derived from Australian state and territory court authorities and departments (unpublished)","no.","326","274","113","89","58","80","31","79","..",""
"7A.21","2022-23","Backlog","All people","Civil","Supreme (excl. probate)","","Backlog; civil; at 30 June","","Supreme courts (excl. probate)","","Appeal","Cases >12 months","Derived from Australian state and territory court authorities and departments (unpublished)","no.","42","53","18","25","10","28","6","22","..",""
"7A.21","2022-23","Backlog","All people","Civil","Supreme (excl. probate)","","Backlog; civil; at 30 June","","Supreme courts (excl. probate)","","Appeal","Cases >24 months","Australian state and territory court authorities and departments (unpublished)","no.","5","7","9","0","2","7","0","7","..",""
"7A.21","2022-23","Backlog","All people","Civil","Supreme (excl. probate)","","Backlog; civil; at 30 June","","Supreme courts (excl. probate)","","Appeal","Cases >12 months","Derived from Australian state and territory court authorities and departments (unpublished)","%","12.9","19.3","15.9","28.1","17.2","35.0","19.4","27.8","..",""
"7A.21","2022-23","Backlog","All people","Civil","Supreme (excl. probate)","","Backlog; civil; at 30 June","","Supreme courts (excl. probate)","","Appeal","Cases >24 months","Derived from Australian state and territory court authorities and departments (unpublished)","%","1.5","2.6","8.0","0","3.4","8.8","0","8.9","..",""
"7A.21","2022-23","Backlog","All people","Civil","Supreme (excl. probate)","","Backlog; civil; at 30 June","","Supreme courts (excl. probate)","","Non-appeal","Pending case load","Derived from Australian state and territory court authorities and departments (unpublished)","no.","6888","5460","3235","1891","885","876","524","179","..",""
"7A.21","2022-23","Backlog","All people","Civil","Supreme (excl. probate)","","Backlog; civil; at 30 June","","Supreme courts (excl. probate)","","Non-appeal","Cases >12 months","Derived from Australian state and territory court authorities and departments (unpublished)","no.","2632","1977","1013","748","240","332","116","63","..",""
"7A.21","2022-23","Backlog","All people","Civil","Supreme (excl. probate)","","Backlog; civil; at 30 June","","Supreme courts (excl. probate)","","Non-appeal","Cases >24 months","Australian state and territory court authorities and departments (unpublished)","no.","1242","768","344","331","96","203","36","32","..",""
"7A.21","2022-23","Backlog","All people","Civil","Supreme (excl. probate)","","Backlog; civil; at 30 June","","Supreme courts (excl. probate)","","Non-appeal","Cases >12 months","Derived from Australian state and territory court authorities and departments (unpublished)","%","38.2","36.2","31.3","39.6","27.1","37.9","22.1","35.2","..",""
"7A.21","2022-23","Backlog","All people","Civil","Supreme (excl. probate)","","Backlog; civil; at 30 June","","Supreme courts (excl. probate)","","Non-appeal","Cases >24 months","Derived from Australian state and territory court authorities and departments (unpublished)","%","18.0","14.1","10.6","17.5","10.8","23.2","6.9","17.9","..",""
"7A.21","2022-23","Backlog","All people","Civil","Supreme (excl. probate)","","Backlog; civil; at 30 June","","Supreme courts (excl. probate)","","Appeal and non-appeal","Pending case load","Derived from Australian state and territory court authorities and departments (unpublished)","no.","7214","5734","3348","1980","943","956","555","258","..",""
"7A.21","2022-23","Backlog","All people","Civil","Supreme (excl. probate)","","Backlog; civil; at 30 June","","Supreme courts (excl. probate)","","Appeal and non-appeal","Cases >12 months","Derived from Australian state and territory court authorities and departments (unpublished)","no.","2674","2030","1031","773","250","360","122","85","..",""
"7A.21","2022-23","Backlog","All people","Civil","Supreme (excl. probate)","","Backlog; civil; at 30 June","","Supreme courts (excl. probate)","","Appeal and non-appeal","Cases >24 months","Derived from Australian state and territory court authorities and departments (unpublished)","no.","1247","775","353","331","98","210","36","39","..",""
"7A.21","2022-23","Backlog","All people","Civil","Supreme (excl. probate)","","Backlog; civil; at 30 June","","Supreme courts (excl. probate)","","Appeal and non-appeal","Cases >12 months","Derived from Australian state and territory court authorities and departments (unpublished)","%","37.1","35.4","30.8","39.0","26.5","37.7","22.0","32.9","..",""
"7A.21","2022-23","Backlog","All people","Civil","Supreme (excl. probate)","","Backlog; civil; at 30 June","","Supreme courts (excl. probate)","","Appeal and non-appeal","Cases >24 months","Derived from Australian state and territory court authorities and departments (unpublished)","%","17.3","13.5","10.5","16.7","10.4","22.0","6.5","15.1","..",""
"7A.21","2022-23","Backlog","All people","Civil","District/county","","Backlog; civil; at 30 June","","District/county courts","","Appeal","Pending case load","Derived from Australian state and territory court authorities and departments (unpublished)","no.","40","6","66","53","19","..","..","..","..",""
"7A.21","2022-23","Backlog","All people","Civil","District/county","","Backlog; civil; at 30 June","","District/county courts","","Appeal","Cases >12 months","Derived from Australian state and territory court authorities and departments (unpublished)","no.","8","1","13","19","4","..","..","..","..",""
"7A.21","2022-23","Backlog","All people","Civil","District/county","","Backlog; civil; at 30 June","","District/county courts","","Appeal","Cases >24 months","Australian state and territory court authorities and departments (unpublished)","no.","3","1","2","2","0","..","..","..","..",""
"7A.21","2022-23","Backlog","All people","Civil","District/county","","Backlog; civil; at 30 June","","District/county courts","","Appeal","Cases >12 months","Derived from Australian state and territory court authorities and departments (unpublished)","%","20.0","16.7","19.7","35.8","21.1","..","..","..","..",""
"7A.21","2022-23","Backlog","All people","Civil","District/county","","Backlog; civil; at 30 June","","District/county courts","","Appeal","Cases >24 months","Derived from Australian state and territory court authorities and departments (unpublished)","%","7.5","16.7","3.0","3.8","0","..","..","..","..",""
"7A.21","2022-23","Backlog","All people","Civil","District/county","","Backlog; civil; at 30 June","","District/county courts","","Non-appeal","Pending case load","Derived from Australian state and territory court authorities and departments (unpublished)","no.","5529","8555","4036","5584","1228","..","..","..","..",""
"7A.21","2022-23","Backlog","All people","Civil","District/county","","Backlog; civil; at 30 June","","District/county courts","","Non-appeal","Cases >12 months","Derived from Australian state and territory court authorities and departments (unpublished)","no.","934","3084","964","2404","582","..","..","..","..",""
"7A.21","2022-23","Backlog","All people","Civil","District/county","","Backlog; civil; at 30 June","","District/county courts","","Non-appeal","Cases >24 months","Australian state and territory court authorities and departments (unpublished)","no.","240","1124","213","1020","356","..","..","..","..",""
"7A.21","2022-23","Backlog","All people","Civil","District/county","","Backlog; civil; at 30 June","","District/county courts","","Non-appeal","Cases >12 months","Derived from Australian state and territory court authorities and departments (unpublished)","%","16.9","36.0","23.9","43.1","47.4","..","..","..","..",""
"7A.21","2022-23","Backlog","All people","Civil","District/county","","Backlog; civil; at 30 June","","District/county courts","","Non-appeal","Cases >24 months","Derived from Australian state and territory court authorities and departments (unpublished)","%","4.3","13.1","5.3","18.3","29.0","..","..","..","..",""
"7A.21","2022-23","Backlog","All people","Civil","District/county","","Backlog; civil; at 30 June","","District/county courts","","Appeal and non-appeal","Pending case load","Derived from Australian state and territory court authorities and departments (unpublished)","no.","5569","8561","4102","5637","1247","..","..","..","..",""
"7A.21","2022-23","Backlog","All people","Civil","District/county","","Backlog; civil; at 30 June","","District/county courts","","Appeal and non-appeal","Cases >12 months","Derived from Australian state and territory court authorities and departments (unpublished)","no.","942","3085","977","2423","586","..","..","..","..",""
"7A.21","2022-23","Backlog","All people","Civil","District/county","","Backlog; civil; at 30 June","","District/county courts","","Appeal and non-appeal","Cases >24 months","Derived from Australian state and territory court authorities and departments (unpublished)","no.","243","1125","215","1022","356","..","..","..","..",""
"7A.21","2022-23","Backlog","All people","Civil","District/county","","Backlog; civil; at 30 June","","District/county courts","","Appeal and non-appeal","Cases >12 months","Derived from Australian state and territory court authorities and departments (unpublished)","%","16.9","36.0","23.8","43.0","47.0","..","..","..","..",""
"7A.21","2022-23","Backlog","All people","Civil","District/county","","Backlog; civil; at 30 June","","District/county courts","","Appeal and non-appeal","Cases >24 months","Derived from Australian state and territory court authorities and departments (unpublished)","%","4.4","13.1","5.2","18.1","28.5","..","..","..","..",""
"7A.21","2022-23","Backlog","All people","Civil","Magistrates' (excl. children's)","","Backlog; civil; at 30 June","","Magistrates' courts","Magistrates' courts only (excl. children's courts)","","Pending case load","Derived from Australian state and territory court authorities and departments (unpublished)","no.","43795","14365","20653","10861","6095","2886","817","289","..",""
"7A.21","2022-23","Backlog","All people","Civil","Magistrates' (excl. children's)","","Backlog; civil; at 30 June","","Magistrates' courts","Magistrates' courts only (excl. children's courts)","","Cases >6 months","Derived from Australian state and territory court authorities and departments (unpublished)","no.","5528","3012","8434","3706","1871","1062","188","120","..",""
"7A.21","2022-23","Backlog","All people","Civil","Magistrates' (excl. children's)","","Backlog; civil; at 30 June","","Magistrates' courts","Magistrates' courts only (excl. children's courts)","","Cases >12 months","Australian state and territory court authorities and departments (unpublished)","no.","2085","1155","2083","1008","497","337","32","58","..",""
"7A.21","2022-23","Backlog","All people","Civil","Magistrates' (excl. children's)","","Backlog; civil; at 30 June","","Magistrates' courts","Magistrates' courts only (excl. children's courts)","","Cases >6 months","Derived from Australian state and territory court authorities and departments (unpublished)","%","12.6","21.0","40.8","34.1","30.7","36.8","23.0","41.5","..",""
"7A.21","2022-23","Backlog","All people","Civil","Magistrates' (excl. children's)","","Backlog; civil; at 30 June","","Magistrates' courts","Magistrates' courts only (excl. children's courts)","","Cases >12 months","Derived from Australian state and territory court authorities and departments (unpublished)","%","4.8","8.0","10.1","9.3","8.2","11.7","3.9","20.1","..",""
"7A.21","2022-23","Backlog","All people","Civil","Children's","","Backlog; civil; at 30 June","","Magistrates' courts","Children's courts","","Pending case load","Derived from Australian state and territory court authorities and departments (unpublished)","no.","5050","2932","2601","666","572","27","135","177","..",""
"7A.21","2022-23","Backlog","All people","Civil","Children's","","Backlog; civil; at 30 June","","Magistrates' courts","Children's courts","","Cases >6 months","Derived from Australian state and territory court authorities and departments (unpublished)","no.","2113","904","1297","283","208","12","54","112","..",""
"7A.21","2022-23","Backlog","All people","Civil","Children's","","Backlog; civil; at 30 June","","Magistrates' courts","Children's courts","","Cases >12 months","Australian state and territory court authorities and departments (unpublished)","no.","1008","358","537","88","51","2","27","79","..",""
"7A.21","2022-23","Backlog","All people","Civil","Children's","","Backlog; civil; at 30 June","","Magistrates' courts","Children's courts","","Cases >6 months","Derived from Australian state and territory court authorities and departments (unpublished)","%","41.8","30.8","49.9","42.5","36.4","44.4","40.0","63.3","..",""
"7A.21","2022-23","Backlog","All people","Civil","Children's","","Backlog; civil; at 30 June","","Magistrates' courts","Children's courts","","Cases >12 months","Derived from Australian state and territory court authorities and departments (unpublished)","%","20.0","12.2","20.6","13.2","8.9","7.4","20.0","44.6","..",""
"7A.21","2022-23","Backlog","All people","Civil","Federal Court of Australia","","Backlog; civil; at 30 June","","Federal Court of Australia","","Appeal","Pending case load","Derived from Australian state and territory court authorities and departments (unpublished)","no.","..","..","..","..","..","..","..","..","793",""
"7A.21","2022-23","Backlog","All people","Civil","Federal Court of Australia","","Backlog; civil; at 30 June","","Federal Court of Australia","","Appeal","Cases >12 months","Derived from Australian state and territory court authorities and departments (unpublished)","no.","..","..","..","..","..","..","..","..","412",""
"7A.21","2022-23","Backlog","All people","Civil","Federal Court of Australia","","Backlog; civil; at 30 June","","Federal Court of Australia","","Appeal","Cases >24 months","Australian state and territory court authorities and departments (unpublished)","no.","..","..","..","..","..","..","..","..","216",""
"7A.21","2022-23","Backlog","All people","Civil","Federal Court of Australia","","Backlog; civil; at 30 June","","Federal Court of Australia","","Appeal","Cases >12 months","Derived from Australian state and territory court authorities and departments (unpublished)","%","..","..","..","..","..","..","..","..","52.0",""
"7A.21","2022-23","Backlog","All people","Civil","Federal Court of Australia","","Backlog; civil; at 30 June","","Federal Court of Australia","","Appeal","Cases >24 months","Derived from Australian state and territory court authorities and departments (unpublished)","%","..","..","..","..","..","..","..","..","27.2",""
"7A.21","2022-23","Backlog","All people","Civil","Federal Court of Australia","","Backlog; civil; at 30 June","","Federal Court of Australia","","Non-appeal","Pending case load","Derived from Australian state and territory court authorities and departments (unpublished)","no.","..","..","..","..","..","..","..","..","3191",""
"7A.21","2022-23","Backlog","All people","Civil","Federal Court of Australia","","Backlog; civil; at 30 June","","Federal Court of Australia","","Non-appeal","Cases >12 months","Derived from Australian state and territory court authorities and departments (unpublished)","no.","..","..","..","..","..","..","..","..","1574",""
"7A.21","2022-23","Backlog","All people","Civil","Federal Court of Australia","","Backlog; civil; at 30 June","","Federal Court of Australia","","Non-appeal","Cases >24 months","Australian state and territory court authorities and departments (unpublished)","no.","..","..","..","..","..","..","..","..","930",""
"7A.21","2022-23","Backlog","All people","Civil","Federal Court of Australia","","Backlog; civil; at 30 June","","Federal Court of Australia","","Non-appeal","Cases >12 months","Derived from Australian state and territory court authorities and departments (unpublished)","%","..","..","..","..","..","..","..","..","49.3",""
"7A.21","2022-23","Backlog","All people","Civil","Federal Court of Australia","","Backlog; civil; at 30 June","","Federal Court of Australia","","Non-appeal","Cases >24 months","Derived from Australian state and territory court authorities and departments (unpublished)","%","..","..","..","..","..","..","..","..","29.1",""
"7A.21","2022-23","Backlog","All people","Civil","Federal Court of Australia","","Backlog; civil; at 30 June","","Federal Court of Australia","","Appeal and non-appeal","Pending case load","Derived from Australian state and territory court authorities and departments (unpublished)","no.","..","..","..","..","..","..","..","..","3984",""
"7A.21","2022-23","Backlog","All people","Civil","Federal Court of Australia","","Backlog; civil; at 30 June","","Federal Court of Australia","","Appeal and non-appeal","Cases >12 months","Derived from Australian state and territory court authorities and departments (unpublished)","no.","..","..","..","..","..","..","..","..","1986",""
"7A.21","2022-23","Backlog","All people","Civil","Federal Court of Australia","","Backlog; civil; at 30 June","","Federal Court of Australia","","Appeal and non-appeal","Cases >24 months","Derived from Australian state and territory court authorities and departments (unpublished)","no.","..","..","..","..","..","..","..","..","1146",""
"7A.21","2022-23","Backlog","All people","Civil","Federal Court of Australia","","Backlog; civil; at 30 June","","Federal Court of Australia","","Appeal and non-appeal","Cases >12 months","Derived from Australian state and territory court authorities and departments (unpublished)","%","..","..","..","..","..","..","..","..","49.8",""
"7A.21","2022-23","Backlog","All people","Civil","Federal Court of Australia","","Backlog; civil; at 30 June","","Federal Court of Australia","","Appeal and non-appeal","Cases >24 months","Derived from Australian state and territory court authorities and departments (unpublished)","%","..","..","..","..","..","..","..","..","28.8",""
"7A.21","2022-23","Backlog","All people","Civil","Family/FCFCOA (Division 1) and FCFCOA (Division 2)","","Backlog; civil; at 30 June","","WA Family court/FCFCOA (Division 1) and FCFCOA (Division 2)","Family law matters","Appeal","Pending case load","Derived from Australian state and territory court authorities and departments (unpublished)","no.","..","..","..","1","..","..","..","..","92",""
"7A.21","2022-23","Backlog","All people","Civil","Family/FCFCOA (Division 1) and FCFCOA (Division 2)","","Backlog; civil; at 30 June","","WA Family court/FCFCOA (Division 1) and FCFCOA (Division 2)","Family law matters","Appeal","Cases >12 months","Derived from Australian state and territory court authorities and departments (unpublished)","no.","..","..","..","1","..","..","..","..","0",""
"7A.21","2022-23","Backlog","All people","Civil","Family/FCFCOA (Division 1) and FCFCOA (Division 2)","","Backlog; civil; at 30 June","","WA Family court/FCFCOA (Division 1) and FCFCOA (Division 2)","Family law matters","Appeal","Cases >24 months","Derived from Australian state and territory court authorities and departments (unpublished)","no.","..","..","..","0","..","..","..","..","0",""
"7A.21","2022-23","Backlog","All people","Civil","Family/FCFCOA (Division 1) and FCFCOA (Division 2)","","Backlog; civil; at 30 June","","WA Family court/FCFCOA (Division 1) and FCFCOA (Division 2)","Family law matters","Appeal","Cases >12 months","Derived from Australian state and territory court authorities and departments (unpublished)","%","..","..","..","100.0","..","..","..","..","0",""
"7A.21","2022-23","Backlog","All people","Civil","Family/FCFCOA (Division 1) and FCFCOA (Division 2)","","Backlog; civil; at 30 June","","WA Family court/FCFCOA (Division 1) and FCFCOA (Division 2)","Family law matters","Appeal","Cases >24 months","Derived from Australian state and territory court authorities and departments (unpublished)","%","..","..","..","0","..","..","..","..","0",""
"7A.21","2022-23","Backlog","All people","Civil","Family/FCFCOA (Division 1) and FCFCOA (Division 2)","","Backlog; civil; at 30 June","","WA Family court/FCFCOA (Division 1) and FCFCOA (Division 2)","Family law matters","Non-appeal","Pending case load","Derived from Australian state and territory court authorities and departments (unpublished)","no.","..","..","..","7514","..","..","..","..","37212",""
"7A.21","2022-23","Backlog","All people","Civil","Family/FCFCOA (Division 1) and FCFCOA (Division 2)","","Backlog; civil; at 30 June","","WA Family court/FCFCOA (Division 1) and FCFCOA (Division 2)","Family law matters","Non-appeal","Cases >12 months","Derived from Australian state and territory court authorities and departments (unpublished)","no.","..","..","..","3072","..","..","..","..","8604",""
"7A.21","2022-23","Backlog","All people","Civil","Family/FCFCOA (Division 1) and FCFCOA (Division 2)","","Backlog; civil; at 30 June","","WA Family court/FCFCOA (Division 1) and FCFCOA (Division 2)","Family law matters","Non-appeal","Cases >24 months","Derived from Australian state and territory court authorities and departments (unpublished)","no.","..","..","..","1355","..","..","..","..","4052",""
"7A.21","2022-23","Backlog","All people","Civil","Family/FCFCOA (Division 1) and FCFCOA (Division 2)","","Backlog; civil; at 30 June","","WA Family court/FCFCOA (Division 1) and FCFCOA (Division 2)","Family law matters","Non-appeal","Cases >12 months","Derived from Australian state and territory court authorities and departments (unpublished)","%","..","..","..","40.9","..","..","..","..","23.1",""
"7A.21","2022-23","Backlog","All people","Civil","Family/FCFCOA (Division 1) and FCFCOA (Division 2)","","Backlog; civil; at 30 June","","WA Family court/FCFCOA (Division 1) and FCFCOA (Division 2)","Family law matters","Non-appeal","Cases >24 months","Derived from Australian state and territory court authorities and departments (unpublished)","%","..","..","..","18.0","..","..","..","..","10.9",""
"7A.21","2022-23","Backlog","All people","Civil","FCFCOA (Division 2)","","Backlog; civil; at 30 June","","FCFCOA (Division 2)","Non-family law matters","","Pending case load","Derived from Australian state and territory court authorities and departments (unpublished)","no.","..","..","..","..","..","..","..","..","18404",""
"7A.21","2022-23","Backlog","All people","Civil","FCFCOA (Division 2)","","Backlog; civil; at 30 June","","FCFCOA (Division 2)","Non-family law matters","","Cases >12 months","Derived from Australian state and territory court authorities and departments (unpublished)","no.","..","..","..","..","..","..","..","..","14128",""
"7A.21","2022-23","Backlog","All people","Civil","FCFCOA (Division 2)","","Backlog; civil; at 30 June","","FCFCOA (Division 2)","Non-family law matters","","Cases >24 months","Australian state and territory court authorities and departments (unpublished)","no.","..","..","..","..","..","..","..","..","10560",""
"7A.21","2022-23","Backlog","All people","Civil","FCFCOA (Division 2)","","Backlog; civil; at 30 June","","FCFCOA (Division 2)","Non-family law matters","","Cases >12 months","Derived from Australian state and territory court authorities and departments (unpublished)","%","..","..","..","..","..","..","..","..","76.8",""
"7A.21","2022-23","Backlog","All people","Civil","FCFCOA (Division 2)","","Backlog; civil; at 30 June","","FCFCOA (Division 2)","Non-family law matters","","Cases >24 months","Derived from Australian state and territory court authorities and departments (unpublished)","%","..","..","..","..","..","..","..","..","57.4",""
"7A.21","2022-23","Backlog","All people","Civil","Coroners'","","Backlog; civil; at 30 June","","Coroners' courts","","","Pending case load","Derived from Australian state and territory court authorities and departments (unpublished)","no.","4026","4665","2833","3375","2781","656","351","381","..",""
"7A.21","2022-23","Backlog","All people","Civil","Coroners'","","Backlog; civil; at 30 June","","Coroners' courts","","","Cases >12 months","Derived from Australian state and territory court authorities and departments (unpublished)","no.","1212","1689","1013","1121","895","312","163","112","..",""
"7A.21","2022-23","Backlog","All people","Civil","Coroners'","","Backlog; civil; at 30 June","","Coroners' courts","","","Cases >24 months","Australian state and territory court authorities and departments (unpublished)","no.","616","817","502","336","336","131","56","59","..",""
"7A.21","2022-23","Backlog","All people","Civil","Coroners'","","Backlog; civil; at 30 June","","Coroners' courts","","","Cases >12 months","Derived from Australian state and territory court authorities and departments (unpublished)","%","30.1","36.2","35.8","33.2","32.2","47.6","46.4","29.4","..",""
"7A.21","2022-23","Backlog","All people","Civil","Coroners'","","Backlog; civil; at 30 June","","Coroners' courts","","","Cases >24 months","Derived from Australian state and territory court authorities and departments (unpublished)","%","15.3","17.5","17.7","10.0","12.1","20.0","16.0","15.5","..",""
"7A.21","2021-22","Backlog","All people","Civil","Supreme (excl. probate)","","Backlog; civil; at 30 June","","Supreme courts (excl. probate)","","Appeal","Pending case load","Derived from Australian state and territory court authorities and departments (unpublished)","no.","383","266","107","98","56","61","26","80","..",""
"7A.21","2021-22","Backlog","All people","Civil","Supreme (excl. probate)","","Backlog; civil; at 30 June","","Supreme courts (excl. probate)","","Appeal","Cases >12 months","Derived from Australian state and territory court authorities and departments (unpublished)","no.","40","51","38","18","7","17","2","15","..",""
"7A.21","2021-22","Backlog","All people","Civil","Supreme (excl. probate)","","Backlog; civil; at 30 June","","Supreme courts (excl. probate)","","Appeal","Cases >24 months","Australian state and territory court authorities and departments (unpublished)","no.","7","13","23","5","2","7","0","3","..",""
"7A.21","2021-22","Backlog","All people","Civil","Supreme (excl. probate)","","Backlog; civil; at 30 June","","Supreme courts (excl. probate)","","Appeal","Cases >12 months","Derived from Australian state and territory court authorities and departments (unpublished)","%","10.4","19.2","35.5","18.4","12.5","27.9","7.7","18.8","..",""
"7A.21","2021-22","Backlog","All people","Civil","Supreme (excl. probate)","","Backlog; civil; at 30 June","","Supreme courts (excl. probate)","","Appeal","Cases >24 months","Derived from Australian state and territory court authorities and departments (unpublished)","%","1.8","4.9","21.5","5.1","3.6","11.5","0","3.8","..",""
"7A.21","2021-22","Backlog","All people","Civil","Supreme (excl. probate)","","Backlog; civil; at 30 June","","Supreme courts (excl. probate)","","Non-appeal","Pending case load","Derived from Australian state and territory court authorities and departments (unpublished)","no.","6210","4877","3110","1947","724","777","489","131","..",""
"7A.21","2021-22","Backlog","All people","Civil","Supreme (excl. probate)","","Backlog; civil; at 30 June","","Supreme courts (excl. probate)","","Non-appeal","Cases >12 months","Derived from Australian state and territory court authorities and departments (unpublished)","no.","2373","1845","974","714","206","336","141","73","..",""
"7A.21","2021-22","Backlog","All people","Civil","Supreme (excl. probate)","","Backlog; civil; at 30 June","","Supreme courts (excl. probate)","","Non-appeal","Cases >24 months","Australian state and territory court authorities and departments (unpublished)","no.","1114","840","310","329","79","192","40","39","..",""
"7A.21","2021-22","Backlog","All people","Civil","Supreme (excl. probate)","","Backlog; civil; at 30 June","","Supreme courts (excl. probate)","","Non-appeal","Cases >12 months","Derived from Australian state and territory court authorities and departments (unpublished)","%","38.2","37.8","31.3","36.7","28.5","43.2","28.8","55.7","..",""
"7A.21","2021-22","Backlog","All people","Civil","Supreme (excl. probate)","","Backlog; civil; at 30 June","","Supreme courts (excl. probate)","","Non-appeal","Cases >24 months","Derived from Australian state and territory court authorities and departments (unpublished)","%","17.9","17.2","10.0","16.9","10.9","24.7","8.2","29.8","..",""
"7A.21","2021-22","Backlog","All people","Civil","Supreme (excl. probate)","","Backlog; civil; at 30 June","","Supreme courts (excl. probate)","","Appeal and non-appeal","Pending case load","Derived from Australian state and territory court authorities and departments (unpublished)","no.","6593","5143","3217","2045","780","838","515","211","..",""
"7A.21","2021-22","Backlog","All people","Civil","Supreme (excl. probate)","","Backlog; civil; at 30 June","","Supreme courts (excl. probate)","","Appeal and non-appeal","Cases >12 months","Derived from Australian state and territory court authorities and departments (unpublished)","no.","2413","1896","1012","732","213","353","143","88","..",""
"7A.21","2021-22","Backlog","All people","Civil","Supreme (excl. probate)","","Backlog; civil; at 30 June","","Supreme courts (excl. probate)","","Appeal and non-appeal","Cases >24 months","Derived from Australian state and territory court authorities and departments (unpublished)","no.","1121","853","333","334","81","199","40","42","..",""
"7A.21","2021-22","Backlog","All people","Civil","Supreme (excl. probate)","","Backlog; civil; at 30 June","","Supreme courts (excl. probate)","","Appeal and non-appeal","Cases >12 months","Derived from Australian state and territory court authorities and departments (unpublished)","%","36.6","36.9","31.5","35.8","27.3","42.1","27.8","41.7","..",""
"7A.21","2021-22","Backlog","All people","Civil","Supreme (excl. probate)","","Backlog; civil; at 30 June","","Supreme courts (excl. probate)","","Appeal and non-appeal","Cases >24 months","Derived from Australian state and territory court authorities and departments (unpublished)","%","17.0","16.6","10.4","16.3","10.4","23.7","7.8","19.9","..",""
"7A.21","2021-22","Backlog","All people","Civil","District/county","","Backlog; civil; at 30 June","","District/county courts","","Appeal","Pending case load","Derived from Australian state and territory court authorities and departments (unpublished)","no.","34","1","52","67","25","..","..","..","..",""
"7A.21","2021-22","Backlog","All people","Civil","District/county","","Backlog; civil; at 30 June","","District/county courts","","Appeal","Cases >12 months","Derived from Australian state and territory court authorities and departments (unpublished)","no.","5","1","9","11","4","..","..","..","..",""
"7A.21","2021-22","Backlog","All people","Civil","District/county","","Backlog; civil; at 30 June","","District/county courts","","Appeal","Cases >24 months","Australian state and territory court authorities and departments (unpublished)","no.","1","1","1","1","0","..","..","..","..",""
"7A.21","2021-22","Backlog","All people","Civil","District/county","","Backlog; civil; at 30 June","","District/county courts","","Appeal","Cases >12 months","Derived from Australian state and territory court authorities and departments (unpublished)","%","14.7","100.0","17.3","16.4","16.0","..","..","..","..",""
"7A.21","2021-22","Backlog","All people","Civil","District/county","","Backlog; civil; at 30 June","","District/county courts","","Appeal","Cases >24 months","Derived from Australian state and territory court authorities and departments (unpublished)","%","2.9","100.0","1.9","1.5","0","..","..","..","..",""
"7A.21","2021-22","Backlog","All people","Civil","District/county","","Backlog; civil; at 30 June","","District/county courts","","Non-appeal","Pending case load","Derived from Australian state and territory court authorities and departments (unpublished)","no.","4441","7483","3695","4959","1408","..","..","..","..",""
"7A.21","2021-22","Backlog","All people","Civil","District/county","","Backlog; civil; at 30 June","","District/county courts","","Non-appeal","Cases >12 months","Derived from Australian state and territory court authorities and departments (unpublished)","no.","681","3159","950","2077","807","..","..","..","..",""
"7A.21","2021-22","Backlog","All people","Civil","District/county","","Backlog; civil; at 30 June","","District/county courts","","Non-appeal","Cases >24 months","Australian state and territory court authorities and departments (unpublished)","no.","221","1143","202","919","471","..","..","..","..",""
"7A.21","2021-22","Backlog","All people","Civil","District/county","","Backlog; civil; at 30 June","","District/county courts","","Non-appeal","Cases >12 months","Derived from Australian state and territory court authorities and departments (unpublished)","%","15.3","42.2","25.7","41.9","57.3","..","..","..","..",""
"7A.21","2021-22","Backlog","All people","Civil","District/county","","Backlog; civil; at 30 June","","District/county courts","","Non-appeal","Cases >24 months","Derived from Australian state and territory court authorities and departments (unpublished)","%","5.0","15.3","5.5","18.5","33.5","..","..","..","..",""
"7A.21","2021-22","Backlog","All people","Civil","District/county","","Backlog; civil; at 30 June","","District/county courts","","Appeal and non-appeal","Pending case load","Derived from Australian state and territory court authorities and departments (unpublished)","no.","4475","7484","3747","5026","1433","..","..","..","..",""
"7A.21","2021-22","Backlog","All people","Civil","District/county","","Backlog; civil; at 30 June","","District/county courts","","Appeal and non-appeal","Cases >12 months","Derived from Australian state and territory court authorities and departments (unpublished)","no.","686","3160","959","2088","811","..","..","..","..",""
"7A.21","2021-22","Backlog","All people","Civil","District/county","","Backlog; civil; at 30 June","","District/county courts","","Appeal and non-appeal","Cases >24 months","Derived from Australian state and territory court authorities and departments (unpublished)","no.","222","1144","203","920","471","..","..","..","..",""
"7A.21","2021-22","Backlog","All people","Civil","District/county","","Backlog; civil; at 30 June","","District/county courts","","Appeal and non-appeal","Cases >12 months","Derived from Australian state and territory court authorities and departments (unpublished)","%","15.3","42.2","25.6","41.5","56.6","..","..","..","..",""
"7A.21","2021-22","Backlog","All people","Civil","District/county","","Backlog; civil; at 30 June","","District/county courts","","Appeal and non-appeal","Cases >24 months","Derived from Australian state and territory court authorities and departments (unpublished)","%","5.0","15.3","5.4","18.3","32.9","..","..","..","..",""
