"Table_Number","Year","Measure","Age","Sex","Indigenous_Status","CS_Type","Year_Dollars","Description1","Description2","Description3","Description4","Description5","Data_Source","Unit","NSW","Vic","Qld","WA","SA","Tas","ACT","NT","Aust"
"8A.8","2023-24","Imprisonment and community corrections population","Adults","Males","All people","Community correction","","Community corrections rate per 100000 adults","Crude","Male","","","Derived from State and territory governments (unpublished); ABS National state and territory population - December","rate","906.5","330.8","664.1","424.8","804.0","676.0","372.7","1234.8","638.8"
"8A.8","2023-24","Imprisonment and community corrections population","Adults","Females","All people","Community correction","","Community corrections rate per 100000 adults","Crude","Female","","","Derived from State and territory governments (unpublished); ABS National state and territory population - December","rate","193.5","53.1","208.1","125.9","166.5","169.1","67.8","249.1","148.8"
"8A.8","2023-24","Imprisonment and community corrections population","Adults","All people","Aboriginal and Torres Strait Islander people","Community correction","","Community corrections rate per 100000 adults","Crude","Aboriginal and Torres Strait Islander","","","Derived from State and territory governments (unpublished); ABS Estimates and Projections Aboriginal and Torres Strait Islander Australians","rate","4178.8","1721.0","3145.7","3017.3","4892.8","1809.1","2393.0","2222.0","3325.0"
"8A.8","2023-24","Imprisonment and community corrections population","Adults","All people","Non-Indigenous people","Community correction","","Community corrections rate per 100000 adults","Crude","Non-Indigenous","","","Derived from State and territory governments (unpublished); ABS National state and territory population - December; ABS Estimates and Projections Aboriginal and Torres Strait Islander Australians","rate","400.0","166.4","316.7","175.2","366.1","336.4","176.9","189.5","288.6"
"8A.8","2023-24","Imprisonment and community corrections population","Adults","All people","All people","Community correction","","Community corrections rate per 100000 adults","Crude","Crude ratio","","","Derived from State and territory governments (unpublished); ABS National state and territory population - December; ABS Estimates and Projections Aboriginal and Torres Strait Islander Australians","ratio","10.4","10.3","9.9","17.2","13.4","5.4","13.5","11.7","11.5"
"8A.8","2023-24","Imprisonment and community corrections population","Adults","All people","Aboriginal and Torres Strait Islander people","Community correction","","Community corrections rate per 100000 adults","Age-standardised","Aboriginal and Torres Strait Islander","","","Derived from State and territory governments (unpublished); ABS Estimates and Projections Aboriginal and Torres Strait Islander Australians","rate (AS)","3461.1","1379.3","2567.8","2433.0","3965.8","1582.9","1808.3","1774.0","2717.5"
"8A.8","2023-24","Imprisonment and community corrections population","Adults","All people","Non-Indigenous people","Community correction","","Community corrections rate per 100000 adults","Age-standardised","Non-Indigenous","","","Derived from State and territory governments (unpublished); ABS National state and territory population - December; ABS Estimates and Projections Aboriginal and Torres Strait Islander Australians","rate (AS)","411.0","165.4","329.7","178.2","400.3","387.6","161.9","171.5","295.4"
"8A.8","2023-24","Imprisonment and community corrections population","Adults","All people","All people","Community correction","","Community corrections rate per 100000 adults","Age-standardised","Age-standardised ratio","","","Derived from State and territory governments (unpublished); ABS National state and territory population - December; ABS Estimates and Projections Aboriginal and Torres Strait Islander Australians","ratio (AS)","8.4","8.3","7.8","13.6","9.9","4.1","11.2","10.3","9.2"
"8A.8","2022-23","Imprisonment and community corrections population","Adults","Males","All people","Prison","","Imprisonment rate per 100000 adults","Crude","Male","","","Derived from State and territory governments (unpublished); ABS National state and territory population - December","rate","368.5","243.1","438.9","529.8","397.5","281.1","204.2","1992.6","380.5"
"8A.8","2022-23","Imprisonment and community corrections population","Adults","Females","All people","Prison","","Imprisonment rate per 100000 adults","Crude","Female","","","Derived from State and territory governments (unpublished); ABS National state and territory population - December","rate","25.1","12.6","42.8","53.8","31.6","19.6","14.6","121.6","29.5"
"8A.8","2022-23","Imprisonment and community corrections population","Adults","All people","Aboriginal and Torres Strait Islander people","Prison","","Imprisonment rate per 100000 adults","Crude","Aboriginal and Torres Strait Islander","","","Derived from State and territory governments (unpublished); ABS Estimates and Projections Aboriginal and Torres Strait Islander Australians","rate","1731.1","1598.6","2123.1","3484.3","2282.3","708.3","1745.6","3400.7","2177.4"
"8A.8","2022-23","Imprisonment and community corrections population","Adults","All people","Non-Indigenous people","Prison","","Imprisonment rate per 100000 adults","Crude","Non-Indigenous","","","Derived from State and territory governments (unpublished); ABS National state and territory population - December; ABS Estimates and Projections Aboriginal and Torres Strait Islander Australians","rate","140.5","108.2","156.5","174.6","155.1","116.7","77.5","174.5","138.5"
"8A.8","2022-23","Imprisonment and community corrections population","Adults","All people","All people","Prison","","Imprisonment rate per 100000 adults","Crude","Crude ratio","","","Derived from State and territory governments (unpublished); ABS National state and territory population - December; ABS Estimates and Projections Aboriginal and Torres Strait Islander Australians","ratio","12.3","14.8","13.6","20.0","14.7","6.1","22.5","19.5","15.7"
"8A.8","2022-23","Imprisonment and community corrections population","Adults","All people","Aboriginal and Torres Strait Islander people","Prison","","Imprisonment rate per 100000 adults","Age-standardised","Aboriginal and Torres Strait Islander","","","Derived from State and territory governments (unpublished); ABS Estimates and Projections Aboriginal and Torres Strait Islander Australians","rate (AS)","1449.4","1288.1","1754.6","2861.6","1870.0","632.8","1320.4","2776.8","1802.8"
"8A.8","2022-23","Imprisonment and community corrections population","Adults","All people","Non-Indigenous people","Prison","","Imprisonment rate per 100000 adults","Age-standardised","Non-Indigenous","","","Derived from State and territory governments (unpublished); ABS National state and territory population - December; ABS Estimates and Projections Aboriginal and Torres Strait Islander Australians","rate (AS)","154.2","114.5","173.9","191.8","179.8","141.3","74.1","167.9","151.2"
"8A.8","2022-23","Imprisonment and community corrections population","Adults","All people","All people","Prison","","Imprisonment rate per 100000 adults","Age-standardised","Age-standardised ratio","","","Derived from State and territory governments (unpublished); ABS National state and territory population - December; ABS Estimates and Projections Aboriginal and Torres Strait Islander Australians","ratio (AS)","9.4","11.3","10.1","14.9","10.4","4.5","17.8","16.5","11.9"
"8A.8","2022-23","Imprisonment and community corrections population","Adults","Males","All people","Community correction","","Community corrections rate per 100000 adults","Crude","Male","","","Derived from State and territory governments (unpublished); ABS National state and territory population - December","rate","894.0","344.5","704.0","427.2","746.4","695.0","355.6","1152.9","642.8"
"8A.8","2022-23","Imprisonment and community corrections population","Adults","Females","All people","Community correction","","Community corrections rate per 100000 adults","Crude","Female","","","Derived from State and territory governments (unpublished); ABS National state and territory population - December","rate","185.7","56.1","211.4","117.6","151.1","171.2","69.7","226.2","145.9"
"8A.8","2022-23","Imprisonment and community corrections population","Adults","All people","Aboriginal and Torres Strait Islander people","Community correction","","Community corrections rate per 100000 adults","Crude","Aboriginal and Torres Strait Islander","","","Derived from State and territory governments (unpublished); ABS Estimates and Projections Aboriginal and Torres Strait Islander Australians","rate","3878.5","1688.9","3125.3","2575.7","4266.5","1823.5","2080.1","1979.3","3104.2"
"8A.8","2022-23","Imprisonment and community corrections population","Adults","All people","Non-Indigenous people","Community correction","","Community corrections rate per 100000 adults","Crude","Non-Indigenous","","","Derived from State and territory governments (unpublished); ABS National state and territory population - December; ABS Estimates and Projections Aboriginal and Torres Strait Islander Australians","rate","398.3","169.7","339.0","186.3","346.2","342.6","175.4","203.4","293.7"
"8A.8","2022-23","Imprisonment and community corrections population","Adults","All people","All people","Community correction","","Community corrections rate per 100000 adults","Crude","Crude ratio","","","Derived from State and territory governments (unpublished); ABS National state and territory population - December; ABS Estimates and Projections Aboriginal and Torres Strait Islander Australians","ratio","9.7","10.0","9.2","13.8","12.3","5.3","11.9","9.7","10.6"
"8A.8","2022-23","Imprisonment and community corrections population","Adults","All people","Aboriginal and Torres Strait Islander people","Community correction","","Community corrections rate per 100000 adults","Age-standardised","Aboriginal and Torres Strait Islander","","","Derived from State and territory governments (unpublished); ABS Estimates and Projections Aboriginal and Torres Strait Islander Australians","rate (AS)","3210.0","1352.3","2544.5","2069.5","3446.9","1590.1","1571.7","1572.9","2531.5"
"8A.8","2022-23","Imprisonment and community corrections population","Adults","All people","Non-Indigenous people","Community correction","","Community corrections rate per 100000 adults","Age-standardised","Non-Indigenous","","","Derived from State and territory governments (unpublished); ABS National state and territory population - December; ABS Estimates and Projections Aboriginal and Torres Strait Islander Australians","rate (AS)","414.3","170.5","356.0","192.2","380.9","393.3","160.9","185.4","303.8"
"8A.8","2022-23","Imprisonment and community corrections population","Adults","All people","All people","Community correction","","Community corrections rate per 100000 adults","Age-standardised","Age-standardised ratio","","","Derived from State and territory governments (unpublished); ABS National state and territory population - December; ABS Estimates and Projections Aboriginal and Torres Strait Islander Australians","ratio (AS)","7.7","7.9","7.1","10.8","9.1","4.0","9.8","8.5","8.3"
"8A.8","2021-22","Imprisonment and community corrections population","Adults","Males","All people","Prison","","Imprisonment rate per 100000 adults","Crude","Male","","","Derived from State and territory governments (unpublished); ABS National state and territory population - December","rate","375.3","254.3","436.5","547.1","403.6","263.4","207.2","1848.5","385.8"
"8A.8","2021-22","Imprisonment and community corrections population","Adults","Females","All people","Prison","","Imprisonment rate per 100000 adults","Crude","Female","","","Derived from State and territory governments (unpublished); ABS National state and territory population - December","rate","25.8","14.0","42.4","55.3","29.6","22.9","16.5","122.8","30.1"
"8A.8","2021-22","Imprisonment and community corrections population","Adults","All people","Aboriginal and Torres Strait Islander people","Prison","","Imprisonment rate per 100000 adults","Crude","Aboriginal and Torres Strait Islander","","","Derived from State and territory governments (unpublished); ABS Estimates and Projections Aboriginal and Torres Strait Islander Australians","rate","1684.2","1466.9","2081.3","3425.8","2290.0","732.4","1624.0","3149.2","2111.9"
"8A.8","2021-22","Imprisonment and community corrections population","Adults","All people","Non-Indigenous people","Prison","","Imprisonment rate per 100000 adults","Crude","Non-Indigenous","","","Derived from State and territory governments (unpublished); ABS National state and territory population - December; ABS Estimates and Projections Aboriginal and Torres Strait Islander Australians","rate","145.7","113.8","157.4","185.7","158.9","110.5","81.6","187.8","143.2"
"8A.8","2021-22","Imprisonment and community corrections population","Adults","All people","All people","Prison","","Imprisonment rate per 100000 adults","Crude","Crude ratio","","","Derived from State and territory governments (unpublished); ABS National state and territory population - December; ABS Estimates and Projections Aboriginal and Torres Strait Islander Australians","ratio","11.6","12.9","13.2","18.4","14.4","6.6","19.9","16.8","14.7"
"8A.8","2021-22","Imprisonment and community corrections population","Adults","All people","Aboriginal and Torres Strait Islander people","Prison","","Imprisonment rate per 100000 adults","Age-standardised","Aboriginal and Torres Strait Islander","","","Derived from State and territory governments (unpublished); ABS Estimates and Projections Aboriginal and Torres Strait Islander Australians","rate (AS)","1409.9","1182.4","1716.1","2802.3","1870.1","652.1","1232.4","2558.2","1745.3"
"8A.8","2021-22","Imprisonment and community corrections population","Adults","All people","Non-Indigenous people","Prison","","Imprisonment rate per 100000 adults","Age-standardised","Non-Indigenous","","","Derived from State and territory governments (unpublished); ABS National state and territory population - December; ABS Estimates and Projections Aboriginal and Torres Strait Islander Australians","rate (AS)","161.6","121.5","175.4","204.5","185.0","132.2","78.5","179.4","157.5"
"8A.8","2021-22","Imprisonment and community corrections population","Adults","All people","All people","Prison","","Imprisonment rate per 100000 adults","Age-standardised","Age-standardised ratio","","","Derived from State and territory governments (unpublished); ABS National state and territory population - December; ABS Estimates and Projections Aboriginal and Torres Strait Islander Australians","ratio (AS)","8.7","9.7","9.8","13.7","10.1","4.9","15.7","14.3","11.1"
"8A.8","2021-22","Imprisonment and community corrections population","Adults","Males","All people","Community correction","","Community corrections rate per 100000 adults","Crude","Male","","","Derived from State and territory governments (unpublished); ABS National state and territory population - December","rate","921.9","310.7","746.5","426.3","769.1","751.4","439.9","1065.7","655.5"
"8A.8","2021-22","Imprisonment and community corrections population","Adults","Females","All people","Community correction","","Community corrections rate per 100000 adults","Crude","Female","","","Derived from State and territory governments (unpublished); ABS National state and territory population - December","rate","190.3","52.0","225.4","116.4","164.4","175.1","92.5","218.8","150.4"
"8A.8","2021-22","Imprisonment and community corrections population","Adults","All people","Aboriginal and Torres Strait Islander people","Community correction","","Community corrections rate per 100000 adults","Crude","Aboriginal and Torres Strait Islander","","","Derived from State and territory governments (unpublished); ABS Estimates and Projections Aboriginal and Torres Strait Islander Australians","rate","3851.6","1549.6","3261.1","2272.7","4380.4","1964.8","2558.7","1845.2","3087.8"
"8A.8","2021-22","Imprisonment and community corrections population","Adults","All people","Non-Indigenous people","Community correction","","Community corrections rate per 100000 adults","Crude","Non-Indigenous","","","Derived from State and territory governments (unpublished); ABS National state and territory population - December; ABS Estimates and Projections Aboriginal and Torres Strait Islander Australians","rate","416.3","156.2","363.0","196.2","362.5","368.4","219.6","197.9","304.4"
"8A.8","2021-22","Imprisonment and community corrections population","Adults","All people","All people","Community correction","","Community corrections rate per 100000 adults","Crude","Crude ratio","","","Derived from State and territory governments (unpublished); ABS National state and territory population - December; ABS Estimates and Projections Aboriginal and Torres Strait Islander Australians","ratio","9.3","9.9","9.0","11.6","12.1","5.3","11.6","9.3","10.1"
"8A.8","2021-22","Imprisonment and community corrections population","Adults","All people","Aboriginal and Torres Strait Islander people","Community correction","","Community corrections rate per 100000 adults","Age-standardised","Aboriginal and Torres Strait Islander","","","Derived from State and territory governments (unpublished); ABS Estimates and Projections Aboriginal and Torres Strait Islander Australians","rate (AS)","3185.4","1240.5","2648.1","1819.7","3529.5","1707.9","1935.4","1459.6","2513.0"
"8A.8","2021-22","Imprisonment and community corrections population","Adults","All people","Non-Indigenous people","Community correction","","Community corrections rate per 100000 adults","Age-standardised","Non-Indigenous","","","Derived from State and territory governments (unpublished); ABS National state and territory population - December; ABS Estimates and Projections Aboriginal and Torres Strait Islander Australians","rate (AS)","436.7","158.1","382.1","202.8","400.3","419.7","202.5","179.6","316.5"
"8A.8","2021-22","Imprisonment and community corrections population","Adults","All people","All people","Community correction","","Community corrections rate per 100000 adults","Age-standardised","Age-standardised ratio","","","Derived from State and territory governments (unpublished); ABS National state and territory population - December; ABS Estimates and Projections Aboriginal and Torres Strait Islander Australians","ratio (AS)","7.3","7.8","6.9","9.0","8.8","4.1","9.6","8.1","7.9"
"8A.9","2023-24","Community corrections staff","Adults","All people","All people","Community correction","","Community corrections","Offender-to-operational staff","","","","Derived from State and territory governments (unpublished)","ratio","23.6","9.3","23.5","16.2","34.9","18.3","8.3","12.8","19.0"
"8A.9","2023-24","Community corrections staff","Adults","All people","All people","Community correction","","Community corrections","Offender-to-other staff","","","","Derived from State and territory governments (unpublished)","ratio","102.1","65.7","75.6","68.5","178.7","90.6","33.6","38.0","85.1"
"8A.9","2023-24","Community corrections staff","Adults","All people","All people","Community correction","","Community corrections","Offender-to-total staff","","","","Derived from State and territory governments (unpublished)","ratio","19.2","8.1","17.9","13.1","29.2","15.2","6.7","9.6","15.6"
"8A.9","2022-23","Community corrections staff","Adults","All people","All people","Community correction","","Community corrections","Offender-to-total staff","","","","Derived from State and territory governments (unpublished)","ratio","18.9","8.3","18.6","12.5","27.2","14.7","5.6","9.2","15.4"
"8A.9","2021-22","Community corrections staff","Adults","All people","All people","Community correction","","Community corrections","Offender-to-total staff","","","","Derived from State and territory governments (unpublished)","ratio","20.3","7.0","21.4","12.6","26.9","15.2","7.6","8.6","15.9"
"8A.9","2020-21","Community corrections staff","Adults","All people","All people","Community correction","","Community corrections","Offender-to-total staff","","","","Derived from State and territory governments (unpublished)","ratio","22.9","6.2","19.7","12.1","24.0","14.4","8.6","8.7","15.6"
"8A.9","2019-20","Community corrections staff","Adults","All people","All people","Community correction","","Community corrections","Offender-to-total staff","","","","Derived from State and territory governments (unpublished)","ratio","23.8","8.3","22.1","12.0","27.7","15.7","11.4","8.6","16.9"
"8A.9","2018-19","Community corrections staff","Adults","All people","All people","Community correction","","Community corrections","Offender-to-total staff","","","","Derived from State and territory governments (unpublished)","ratio","20.1","8.8","24.2","13.7","27.3","16.6","11.2","10.7","16.4"
"8A.9","2017-18","Community corrections staff","Adults","All people","All people","Community correction","","Community corrections","Offender-to-total staff","","","","Derived from State and territory governments (unpublished)","ratio","16.6","11.0","22.8","12.5","14.3","20.4","10.0","10.0","15.3"
"8A.9","2016-17","Community corrections staff","Adults","All people","All people","Community correction","","Community corrections","Offender-to-total staff","","","","Derived from State and territory governments (unpublished)","ratio","17.6","11.7","26.2","12.1","19.4","21.3","11.6","9.1","16.7"
"8A.9","2015-16","Community corrections staff","Adults","All people","All people","Community correction","","Community corrections","Offender-to-total staff","","","","Derived from State and territory governments (unpublished)","ratio","17.4","12.0","26.1","10.6","20.2","22.7","10.8","8.4","16.5"
"8A.9","2014-15","Community corrections staff","Adults","All people","All people","Community correction","","Community corrections","Offender-to-total staff","","","","Derived from State and territory governments (unpublished)","ratio","16.7","13.5","23.2","9.5","17.5","24.8","12.5","9.2","16.3"
"8A.10","2023-24","Prisoner employment","Adults","All people","Aboriginal and Torres Strait Islander people","Prison","","Prisoner employment","Aboriginal and Torres Strait Islander","","","","Derived from State and territory governments (unpublished)","%","81.6","94.1","56.8","64.5","77.1","63.4","85.0","68.2","69.2"
"8A.10","2023-24","Prisoner employment","Adults","All people","Non-Indigenous people","Prison","","Prisoner employment","Non-Indigenous","","","","Derived from State and territory governments (unpublished)","%","91.4","94.9","68.4","80.7","84.3","71.7","92.5","89.4","84.2"
"8A.10","2023-24","Prisoner employment","Adults","All people","All people","Prison","","Prisoner employment","Total","","","","Derived from State and territory governments (unpublished)","%","88.6","94.8","63.9","73.6","84.3","69.0","89.2","69.8","79.1"
"8A.10","2022-23","Prisoner employment","Adults","All people","Aboriginal and Torres Strait Islander people","Prison","","Prisoner employment","Aboriginal and Torres Strait Islander","","","","Derived from State and territory governments (unpublished)","%","77.0","94.1","58.5","85.3","68.4","67.0","86.5","70.8","74.5"
"8A.10","2022-23","Prisoner employment","Adults","All people","Non-Indigenous people","Prison","","Prisoner employment","Non-Indigenous","","","","Derived from State and territory governments (unpublished)","%","88.8","93.7","69.9","92.3","77.4","73.3","91.8","87.5","85.3"
"8A.10","2022-23","Prisoner employment","Adults","All people","All people","Prison","","Prisoner employment","Total","","","","Derived from State and territory governments (unpublished)","%","85.4","93.7","65.7","87.7","75.3","70.3","90.2","72.2","81.4"
"8A.10","2021-22","Prisoner employment","Adults","All people","Aboriginal and Torres Strait Islander people","Prison","","Prisoner employment","Aboriginal and Torres Strait Islander","","","","Derived from State and territory governments (unpublished)","%","81.8","90.6","57.0","78.2","68.9","56.2","78.9","58.1","70.7"
"8A.10","2021-22","Prisoner employment","Adults","All people","Non-Indigenous people","Prison","","Prisoner employment","Non-Indigenous","","","","Derived from State and territory governments (unpublished)","%","87.7","93.5","70.1","88.1","80.4","62.3","91.4","86.1","84.1"
"8A.10","2021-22","Prisoner employment","Adults","All people","All people","Prison","","Prisoner employment","Total","","","","Derived from State and territory governments (unpublished)","%","86.3","93.2","65.5","84.2","78.3","60.7","87.1","61.8","80.1"
"8A.10","2020-21","Prisoner employment","Adults","All people","Aboriginal and Torres Strait Islander people","Prison","","Prisoner employment","Aboriginal and Torres Strait Islander","","","","Derived from State and territory governments (unpublished)","%","88.0","93.3","57.1","74.9","66.2","52.3","86.6","68.3","73.1"
"8A.10","2020-21","Prisoner employment","Adults","All people","Non-Indigenous people","Prison","","Prisoner employment","Non-Indigenous","","","","Derived from State and territory governments (unpublished)","%","88.6","94.4","69.4","86.9","75.7","56.5","87.8","89.2","83.8"
"8A.10","2020-21","Prisoner employment","Adults","All people","All people","Prison","","Prisoner employment","Total","","","","Derived from State and territory governments (unpublished)","%","88.4","94.3","65.2","82.2","74.9","55.6","86.7","71.4","80.7"
"8A.10","2019-20","Prisoner employment","Adults","All people","Aboriginal and Torres Strait Islander people","Prison","","Prisoner employment","Aboriginal and Torres Strait Islander","","","","Derived from State and territory governments (unpublished)","%","81.7","93.0","60.4","76.1","73.3","51.3","75.7","68.4","73.7"
"8A.10","2019-20","Prisoner employment","Adults","All people","Non-Indigenous people","Prison","","Prisoner employment","Non-Indigenous","","","","Derived from State and territory governments (unpublished)","%","87.4","93.1","72.6","87.6","82.8","54.9","83.3","92.5","84.7"
"8A.10","2019-20","Prisoner employment","Adults","All people","All people","Prison","","Prisoner employment","Total","","","","Derived from State and territory governments (unpublished)","%","85.7","93.1","68.5","83.2","81.6","53.8","80.7","72.4","81.4"
"8A.10","2018-19","Prisoner employment","Adults","All people","Aboriginal and Torres Strait Islander people","Prison","","Prisoner employment","Aboriginal and Torres Strait Islander","","","","Derived from State and territory governments (unpublished)","%","80.2","88.7","63.6","67.3","71.5","61.8","75.6","80.4","73.1"
"8A.10","2018-19","Prisoner employment","Adults","All people","Non-Indigenous people","Prison","","Prisoner employment","Non-Indigenous","","","","Derived from State and territory governments (unpublished)","%","85.7","91.9","74.8","78.3","87.1","64.6","86.1","80.7","83.3"
"8A.10","2018-19","Prisoner employment","Adults","All people","All people","Prison","","Prisoner employment","Total","","","","Derived from State and territory governments (unpublished)","%","84.1","91.6","71.2","74.2","83.2","64.1","80.7","80.4","80.3"
"8A.11","2023-24","Prisoner education and training","Adults","All people","All people","Prison","","Prisoners in education and training","Pre-certificate Level 1 courses","","","","Derived from State and territory governments (unpublished)","%","1.4","0.8","15.9","2.7","25.5","7.4","0.4","0","6.7"
"8A.11","2023-24","Prisoner education and training","Adults","All people","All people","Prison","","Prisoners in education and training","Secondary school education","","","","Derived from State and territory governments (unpublished)","%","5.6","0","0.1","0","0","0","0","0","1.6"
"8A.11","2023-24","Prisoner education and training","Adults","All people","All people","Prison","","Prisoners in education and training","Vocational Education and Training","","","","Derived from State and territory governments (unpublished)","%","9.6","28.9","12.1","17.5","29.0","16.0","31.7","11.6","17.3"
"8A.11","2023-24","Prisoner education and training","Adults","All people","All people","Prison","","Prisoners in education and training","Higher education","","","","Derived from State and territory governments (unpublished)","%","0.2","0.8","5.1","0.9","0.2","2.1","3.6","0","1.4"
"8A.11","2023-24","Prisoner education and training","Adults","All people","All people","Prison","","Prisoners in education and training","Total","","","","Derived from State and territory governments (unpublished)","%","16.9","30.0","29.8","21.1","49.7","21.7","35.7","11.6","25.7"
"8A.11","2022-23","Prisoner education and training","Adults","All people","All people","Prison","","Prisoners in education and training","Total","","","","Derived from State and territory governments (unpublished)","%","16.1","31.1","29.7","24.3","48.3","21.5","24.0","8.2","26.0"
"8A.11","2021-22","Prisoner education and training","Adults","All people","All people","Prison","","Prisoners in education and training","Total","","","","Derived from State and territory governments (unpublished)","%","12.1","30.3","26.6","22.8","49.5","17.6","11.5","11.2","23.9"
"8A.11","2020-21","Prisoner education and training","Adults","All people","All people","Prison","","Prisoners in education and training","Total","","","","Derived from State and territory governments (unpublished)","%","18.1","33.3","32.6","30.6","54.1","19.8","68.5","8.4","29.9"
"8A.11","2019-20","Prisoner education and training","Adults","All people","All people","Prison","","Prisoners in education and training","Total","","","","Derived from State and territory governments (unpublished)","%","22.7","31.8","32.9","30.9","70.4","19.4","71.4","4.2","32.2"
"8A.11","2018-19","Prisoner education and training","Adults","All people","All people","Prison","","Prisoners in education and training","Total","","","","Derived from State and territory governments (unpublished)","%","22.9","39.5","38.2","29.7","68.6","24.8","70.8","32.7","35.1"
"8A.11","2017-18","Prisoner education and training","Adults","All people","All people","Prison","","Prisoners in education and training","Total","","","","Derived from State and territory governments (unpublished)","%","22.4","36.3","36.2","25.6","79.5","25.1","77.3","15.1","34.0"
"8A.11","2016-17","Prisoner education and training","Adults","All people","All people","Prison","","Prisoners in education and training","Total","","","","Derived from State and territory governments (unpublished)","%","24.6","34.1","39.1","24.6","63.4","16.0","70.6","31.0","32.9"
"8A.11","2015-16","Prisoner education and training","Adults","All people","All people","Prison","","Prisoners in education and training","Total","","","","Derived from State and territory governments (unpublished)","%","32.2","34.1","35.6","28.5","67.4","14.4","72.3","24.4","34.4"
"8A.11","2014-15","Prisoner education and training","Adults","All people","All people","Prison","","Prisoners in education and training","Total","","","","Derived from State and territory governments (unpublished)","%","31.7","35.7","28.0","24.0","53.1","16.9","76.3","14.1","31.6"
"8A.12","2023-24","Prisoner employment","Adults","All people","All people","Prison","","Prisoner employment","Commercial industries","","","","Derived from State and territory governments (unpublished)","%","48.5","37.1","26.4","8.3","36.0","12.6","0","19.0","29.7"
"8A.12","2023-24","Prisoner employment","Adults","All people","All people","Prison","","Prisoner employment","Service industries","","","","Derived from State and territory governments (unpublished)","%","38.2","57.7","37.5","65.3","48.0","56.5","87.5","48.7","48.8"
"8A.12","2023-24","Prisoner employment","Adults","All people","All people","Prison","","Prisoner employment","Work release","","","","Derived from State and territory governments (unpublished)","%","1.8","..","..","0","0.2","0","1.7","2.1","0.6"
"8A.12","2023-24","Prisoner employment","Adults","All people","All people","Prison","","Prisoner employment","Total","","","","Derived from State and territory governments (unpublished)","%","88.6","94.8","63.9","73.6","84.3","69.0","89.2","69.8","79.1"
"8A.12","2022-23","Prisoner employment","Adults","All people","All people","Prison","","Prisoner employment","Total","","","","Derived from State and territory governments (unpublished)","%","85.4","93.7","65.7","87.7","75.3","70.3","90.2","72.2","81.4"
"8A.12","2021-22","Prisoner employment","Adults","All people","All people","Prison","","Prisoner employment","Total","","","","Derived from State and territory governments (unpublished)","%","86.3","93.2","65.5","84.2","78.3","60.7","87.1","61.8","80.1"
"8A.12","2020-21","Prisoner employment","Adults","All people","All people","Prison","","Prisoner employment","Total","","","","Derived from State and territory governments (unpublished)","%","88.4","94.3","65.2","82.2","74.9","55.6","86.7","71.4","80.7"
"8A.12","2019-20","Prisoner employment","Adults","All people","All people","Prison","","Prisoner employment","Total","","","","Derived from State and territory governments (unpublished)","%","85.7","93.1","68.5","83.2","81.6","53.8","80.7","72.4","81.4"
"8A.12","2018-19","Prisoner employment","Adults","All people","All people","Prison","","Prisoner employment","Total","","","","Derived from State and territory governments (unpublished)","%","84.1","91.6","71.2","74.2","83.2","64.1","80.7","80.4","80.3"
"8A.12","2017-18","Prisoner employment","Adults","All people","All people","Prison","","Prisoner employment","Total","","","","Derived from State and territory governments (unpublished)","%","87.7","91.5","67.0","75.2","87.4","69.7","75.6","77.3","80.5"
"8A.12","2016-17","Prisoner employment","Adults","All people","All people","Prison","","Prisoner employment","Total","","","","Derived from State and territory governments (unpublished)","%","78.4","87.1","68.8","68.7","68.0","59.0","74.7","78.7","74.7"
"8A.12","2015-16","Prisoner employment","Adults","All people","All people","Prison","","Prisoner employment","Total","","","","Derived from State and territory governments (unpublished)","%","80.4","87.5","68.9","66.0","71.2","53.4","71.1","79.3","74.9"
"8A.12","2014-15","Prisoner employment","Adults","All people","All people","Prison","","Prisoner employment","Total","","","","Derived from State and territory governments (unpublished)","%","76.1","89.3","66.0","73.7","68.3","57.8","65.4","74.7","74.8"
"8A.13","2023-24","Time out-of-cells per day","Adults","All people","All people","Prison","","Prison","Time out-of-cells per day","Open","","","State and territory governments (unpublished)","hr/day","10.4","13.8","15.7","15.7","15.4","16.9","12.0","15.3","13.1"
"8A.13","2023-24","Time out-of-cells per day","Adults","All people","All people","Prison","","Prison","Time out-of-cells per day","Secure","","","State and territory governments (unpublished)","hr/day","7.6","9.6","7.6","8.8","8.5","7.2","10.2","8.2","8.2"
"8A.13","2023-24","Time out-of-cells per day","Adults","All people","All people","Prison","","Prison","Time out-of-cells per day","Total","","","State and territory governments (unpublished)","hr/day","8.3","10.1","8.1","9.8","9.1","7.5","10.2","11.5","9.0"
"8A.13","2022-23","Time out-of-cells per day","Adults","All people","All people","Prison","","Prison","Time out-of-cells per day","Total","","","State and territory governments (unpublished)","hr/day","7.6","10.0","8.4","9.6","8.9","7.3","9.5","11.3","8.8"
"8A.13","2021-22","Time out-of-cells per day","Adults","All people","All people","Prison","","Prison","Time out-of-cells per day","Total","","","State and territory governments (unpublished)","hr/day","7.3","9.6","8.4","10.0","8.4","7.7","9.3","11.7","8.7"
"8A.13","2020-21","Time out-of-cells per day","Adults","All people","All people","Prison","","Prison","Time out-of-cells per day","Total","","","State and territory governments (unpublished)","hr/day","8.6","10.1","9.0","10.6","8.8","8.0","8.9","11.8","9.4"
"8A.13","2019-20","Time out-of-cells per day","Adults","All people","All people","Prison","","Prison","Time out-of-cells per day","Total","","","State and territory governments (unpublished)","hr/day","8.6","10.2","9.0","11.3","9.3","7.1","9.1","11.8","9.6"
